Node,CST,Tx power,IP address,x,y,z
9,-82,0,10.1.5.2,13.6566,27.9309,1.5
10,-82,0,10.1.6.1,40.3774,38.1629,1.5
11,-82,0,10.1.6.2,42.0894,40.6264,1.5
12,-82,0,10.1.7.1,37.6895,45.9389,1.5
13,-82,0,10.1.7.2,36.0601,43.4199,1.5
14,-82,0,10.1.8.1,34.2437,4.65449,1.5
15,-82,0,10.1.8.2,32.8098,7.28957,1.5
Node,CST,Tx power,IP address,x,y,z
0,-82,0,10.1.1.1,36.7861,13.9692,1.5
1,-82,0,10.1.1.2,36.876,10.9706,1.5
2,-82,0,10.1.2.1,9.25713,3.7465,1.5
3,-82,0,10.1.2.2,9.78564,6.69958,1.5
4,-82,0,10.1.3.1,38.9104,28.0634,1.5
5,-82,0,10.1.3.2,41.743,29.0514,1.5
6,-82,0,10.1.4.1,5.96079,18.78,1.5
7,-82,0,10.1.4.2,7.99331,20.9866,1.5
8,-82,0,10.1.5.1,21.0316,34.3783,1.5
9,-82,0,10.1.5.2,19.5778,37.0025,1.5
10,-82,0,10.1.6.1,35.4576,26.4328,1.5
11,-82,0,10.1.6.2,38.3668,25.7001,1.5
12,-82,0,10.1.7.1,42.9512,5.59424,1.5
13,-82,0,10.1.7.2,42.2629,8.51421,1.5
14,-82,0,10.1.8.1,45.3623,33.1992,1.5
15,-82,0,10.1.8.2,46.3197,30.356,1.5
Node,CST,Tx power,IP address,x,y,z
0,-82,0,10.1.1.1,26.2714,8.08063,1.5
1,-82,0,10.1.1.2,24.6247,5.57295,1.5
2,-82,0,10.1.2.1,33.9443,17.6807,1.5
3,-82,0,10.1.2.2,32.637,20.3808,1.5
4,-82,0,10.1.3.1,29.3015,30.8747,1.5
5,-82,0,10.1.3.2,26.7249,32.4114,1.5
6,-82,0,10.1.4.1,29.402,35.9174,1.5
7,-82,0,10.1.4.2,29.4418,32.9177,1.5
8,-82,0,10.1.5.1,9.86395,19.0995,1.5
9,-82,0,10.1.5.2,7.52216,17.2244,1.5
10,-82,0,10.1.6.1,32.4298,6.17963,1.5
11,-82,0,10.1.6.2,34.0553,8.70111,1.5
12,-82,0,10.1.7.1,15.3055,46.2171,1.5
13,-82,0,10.1.7.2,12.3651,46.8123,1.5
14,-82,0,10.1.8.1,27.5606,10.9375,1.5
15,-82,0,10.1.8.2,29.6071,8.74388,1.5
Node,CST,Tx power,IP address,x,y,z
0,-82,0,10.1.1.1,41.0746,5.27162,1.5
1,-82,0,10.1.1.2,43.009,2.97857,1.5
2,-82,0,10.1.2.1,27.5051,19.0121,1.5
3,-82,0,10.1.2.2,28.7796,21.7279,1.5
4,-82,0,10.1.3.1,22.8137,16.3572,1.5
5,-82,0,10.1.3.2,21.7961,13.535,1.5
6,-82,0,10.1.4.1,31.3756,44.2193,1.5
7,-82,0,10.1.4.2,30.5641,41.3311,1.5
8,-82,0,10.1.5.1,24.4582,26.3403,1.5
9,-82,0,10.1.5.2,27.4474,26.5946,1.5
10,-82,0,10.1.6.1,10.872,25.5622,1.5
11,-82,0,10.1.6.2,10.1255,28.4679,1.5
