Node,CST,Tx power,IP address,x,y,z
10,-82,0,10.1.6.1,81.4537,76.9242,1.5
11,-82,0,10.1.6.2,84.3072,81.03,1.5
12,-82,0,10.1.7.1,75.9558,92.8296,1.5
13,-82,0,10.1.7.2,73.2402,88.6313,1.5
14,-82,0,10.1.8.1,68.9077,8.38418,1.5
15,-82,0,10.1.8.2,66.5177,12.776,1.5
Node,CST,Tx power,IP address,x,y,z
0,-82,0,10.1.1.1,74.1079,27.4371,1.5
1,-82,0,10.1.1.2,74.2577,22.4393,1.5
2,-82,0,10.1.2.1,17.7987,6.52693,1.5
3,-82,0,10.1.2.2,18.6795,11.4487,1.5
4,-82,0,10.1.3.1,78.4531,56.266,1.5
5,-82,0,10.1.3.2,83.1741,57.9127,1.5
6,-82,0,10.1.4.1,11.0562,37.2773,1.5
7,-82,0,10.1.4.2,14.4437,40.9549,1.5
8,-82,0,10.1.5.1,41.8829,69.1829,1.5
9,-82,0,10.1.5.2,39.4598,73.5565,1.5
10,-82,0,10.1.6.1,71.3906,52.9306,1.5
11,-82,0,10.1.6.2,76.2392,51.7096,1.5
12,-82,0,10.1.7.1,86.7184,10.3064,1.5
13,-82,0,10.1.7.2,85.5712,15.173,1.5
14,-82,0,10.1.8.1,91.6502,66.771,1.5
15,-82,0,10.1.8.2,93.2458,62.0324,1.5
Node,CST,Tx power,IP address,x,y,z
0,-82,0,10.1.1.1,52.6006,15.3922,1.5
1,-82,0,10.1.1.2,49.8561,11.2127,1.5
2,-82,0,10.1.2.1,68.2951,35.0286,1.5
3,-82,0,10.1.2.2,66.1163,39.5289,1.5
4,-82,0,10.1.3.1,58.7984,62.0164,1.5
5,-82,0,10.1.3.2,54.5042,64.5776,1.5
6,-82,0,10.1.4.1,59.0041,72.331,1.5
7,-82,0,10.1.4.2,59.0705,67.3315,1.5
8,-82,0,10.1.5.1,19.0399,37.9309,1.5
9,-82,0,10.1.5.2,15.1369,34.8057,1.5
10,-82,0,10.1.6.1,65.1973,11.5038,1.5
11,-82,0,10.1.6.2,67.9065,15.7063,1.5
12,-82,0,10.1.7.1,30.1703,93.3986,1.5
13,-82,0,10.1.7.2,25.2697,94.3906,1.5
14,-82,0,10.1.8.1,55.2376,21.2358,1.5
15,-82,0,10.1.8.2,58.6484,17.5798,1.5
Node,CST,Tx power,IP address,x,y,z
0,-82,0,10.1.1.1,82.8799,9.6465,1.5
1,-82,0,10.1.1.2,86.1039,5.82474,1.5
2,-82,0,10.1.2.1,55.124,37.752,1.5
3,-82,0,10.1.2.2,57.2483,42.2783,1.5
4,-82,0,10.1.3.1,45.528,32.3215,1.5
5,-82,0,10.1.3.2,43.8321,27.6179,1.5
6,-82,0,10.1.4.1,63.041,89.3121,1.5
7,-82,0,10.1.4.2,61.6886,84.4985,1.5
8,-82,0,10.1.5.1,48.8918,52.7415,1.5
9,-82,0,10.1.5.2,53.8738,53.1654,1.5
10,-82,0,10.1.6.1,21.1018,51.1501,1.5
11,-82,0,10.1.6.2,19.8577,55.9928,1.5
12,-82,0,10.1.7.1,86.0511,38.5752,1.5
13,-82,0,10.1.7.2,89.5216,42.1746,1.5
14,-82,0,10.1.8.1,36.0232,17.6009,1.5
15,-82,0,10.1.8.2,37.7016,12.891,1.5
Node,CST,Tx power,IP address,x,y,z
0,-82,0,10.1.1.1,14.73,57.5667,1.5
1,-82,0,10.1.1.2,10.4453,54.9897,1.5
2,-82,0,10.1.2.1,30.1099,24.0553,1.5
3,-82,0,10.1.2.2,28.3706,28.7431,1.5
4,-82,0,10.1.3.1,88.8471,79.4509,1.5
5,-82,0,10.1.3.2,85.3825,83.056,1.5
6,-82,0,10.1.4.1,12.5608,31.1137,1.5
7,-82,0,10.1.4.2,7.88913,29.3318,1.5
8,-82,0,10.1.5.1,76.0661,66.2547,1.5
9,-82,0,10.1.5.2,71.6336,68.5683,1.5
10,-82,0,10.1.6.1,87.1482,16.1918,1.5
11,-82,0,10.1.6.2,82.1521,16.3879,1.5
12,-82,0,10.1.7.1,75.099,7.94087,1.5
13,-82,0,10.1.7.2,76.8712,3.26549,1.5
14,-82,0,10.1.8.1,89.3868,65.4452,1.5
15,-82,0,10.1.8.2,85.8,61.9617,1.5
Node,CST,Tx power,IP address,x,y,z
0,-82,0,10.1.1.1,38.5845,6.37842,1.5
1,-82,0,10.1.1.2,40.7888,1.89054,1.5
2,-82,0,10.1.2.1,69.7992,57.8192,1.5
3,-82,0,10.1.2.2,69.852,52.8195,1.5
4,-82,0,10.1.3.1,19.3161,23.5325,1.5
5,-82,0,10.1.3.2,20.4435,28.4038,1.5
6,-82,0,10.1.4.1,87.0729,26.0748,1.5
7,-82,0,10.1.4.2,88.1979,30.9466,1.5
8,-82,0,10.1.5.1,89.7103,47.5286,1.5
9,-82,0,10.1.5.2,89.3599,42.5409,1.5
10,-82,0,10.1.6.1,58.623,48.1474,1.5
11,-82,0,10.1.6.2,57.0989,43.3853,1.5
12,-82,0,10.1.7.1,85.1843,44.3646,1.5
13,-82,0,10.1.7.2,84.0354,49.2309,1.5
14,-82,0,10.1.8.1,51.5426,68.9685,1.5
15,-82,0,10.1.8.2,48.7664,73.127,1.5
Node,CST,Tx power,IP address,x,y,z
0,-82,0,10.1.1.1,57.105,88.1357,1.5
1,-82,0,10.1.1.2,52.2576,89.3615,1.5
2,-82,0,10.1.2.1,25.4352,77.0065,1.5
3,-82,0,10.1.2.2,22.9975,72.641,1.5
4,-82,0,10.1.3.1,54.3051,33.8574,1.5
5,-82,0,10.1.3.2,57.4294,37.7612,1.5
6,-82,0,10.1.4.1,59.1295,60.1528,1.5
7,-82,0,10.1.4.2,64.1052,59.6597,1.5
8,-82,0,10.1.5.1,74.8654,75.4813,1.5
9,-82,0,10.1.5.2,75.4017,70.5101,1.5
10,-82,0,10.1.6.1,58.9674,33.8998,1.5
11,-82,0,10.1.6.2,63.9143,34.6267,1.5
12,-82,0,10.1.7.1,84.1978,59.538,1.5
13,-82,0,10.1.7.2,87.5862,63.2148,1.5
14,-82,0,10.1.8.1,48.6117,76.8423,1.5
15,-82,0,10.1.8.2,51.3002,72.6266,1.5
Node,CST,Tx power,IP address,x,y,z
0,-82,0,10.1.1.1,86.9704,78.0253,1.5
1,-82,0,10.1.1.2,82.8352,75.2146,1.5
2,-82,0,10.1.2.1,31.1086,9.68516,1.5
3,-82,0,10.1.2.2,27.624,6.09943,1.5
4,-82,0,10.1.3.1,45.0441,48.9728,1.5
5,-82,0,10.1.3.2,44.8627,53.9696,1.5
6,-82,0,10.1.4.1,86.8063,51.8706,1.5
7,-82,0,10.1.4.2,91.2856,49.6488,1.5
8,-82,0,10.1.5.1,7.74823,33.3718,1.5
9,-82,0,10.1.5.2,4.9723,37.5304,1.5
10,-82,0,10.1.6.1,83.2242,44.1617,1.5
11,-82,0,10.1.6.2,82.5137,49.111,1.5
12,-82,0,10.1.7.1,30.502,32.6102,1.5
13,-82,0,10.1.7.2,25.7293,34.1007,1.5
14,-82,0,10.1.8.1,68.0077,66.2814,1.5
15,-82,0,10.1.8.2,71.092,70.2167,1.5
Node,CST,Tx power,IP address,x,y,z
0,-82,0,10.1.1.1,21.5109,84.4213,1.5
1,-82,0,10.1.1.2,25.3827,81.2575,1.5
2,-82,0,10.1.2.1,48.5528,36.8248,1.5
3,-82,0,10.1.2.2,53.4166,37.9841,1.5
4,-82,0,10.1.3.1,7.05,84.4297,1.5
5,-82,0,10.1.3.2,11.8732,85.7477,1.5
6,-82,0,10.1.4.1,76.9691,30.5553,1.5
7,-82,0,10.1.4.2,74.539,34.925,1.5
8,-82,0,10.1.5.1,29.7335,82.002,1.5
9,-82,0,10.1.5.2,33.8982,79.2353,1.5
10,-82,0,10.1.6.1,68.7245,80.6795,1.5
11,-82,0,10.1.6.2,73.6941,81.2303,1.5
12,-82,0,10.1.7.1,12.261,71.2041,1.5
13,-82,0,10.1.7.2,15.818,74.718,1.5
14,-82,0,10.1.8.1,81.2535,91.6789,1.5
15,-82,0,10.1.8.2,86.1133,90.5034,1.5
Node,CST,Tx power,IP address,x,y,z
0,-82,0,10.1.1.1,36.19,10.1152,1.5
1,-82,0,10.1.1.2,41.1883,9.98647,1.5
2,-82,0,10.1.2.1,63.0296,51.3024,1.5
3,-82,0,10.1.2.2,58.5632,53.5499,1.5
4,-82,0,10.1.3.1,47.1268,53.2409,1.5
5,-82,0,10.1.3.2,50.0945,49.2169,1.5
6,-82,0,10.1.4.1,37.7266,52.7311,1.5
7,-82,0,10.1.4.2,40.9774,56.5301,1.5
8,-82,0,10.1.5.1,86.3824,40.7181,1.5
9,-82,0,10.1.5.2,87.3922,35.8211,1.5
10,-82,0,10.1.6.1,21.058,70.0668,1.5
11,-82,0,10.1.6.2,21.5698,65.093,1.5
12,-82,0,10.1.7.1,74.5216,28.4402,1.5
13,-82,0,10.1.7.2,69.9594,30.4862,1.5
14,-82,0,10.1.8.1,35.7432,9.85818,1.5
15,-82,0,10.1.8.2,32.8435,13.9315,1.5
Node,CST,Tx power,IP address,x,y,z
0,-82,0,10.1.1.1,46.7846,41.1961,1.5
1,-82,0,10.1.1.2,47.5521,46.1368,1.5
2,-82,0,10.1.2.1,27.8003,54.1443,1.5
3,-82,0,10.1.2.2,27.9349,59.1425,1.5
4,-82,0,10.1.3.1,85.2232,60.0135,1.5
5,-82,0,10.1.3.2,89.2416,57.0382,1.5
6,-82,0,10.1.4.1,48.3171,27.1513,1.5
7,-82,0,10.1.4.2,50.4276,31.6841,1.5
8,-82,0,10.1.5.1,68.0152,12.6797,1.5
9,-82,0,10.1.5.2,63.2821,11.0678,1.5
10,-82,0,10.1.6.1,6.41417,41.5696,1.5
11,-82,0,10.1.6.2,7.68766,36.7344,1.5
12,-82,0,10.1.7.1,90.0115,62.003,1.5
13,-82,0,10.1.7.2,90.6011,66.9682,1.5
14,-82,0,10.1.8.1,76.1792,29.5374,1.5
15,-82,0,10.1.8.2,74.4609,24.8419,1.5
Node,CST,Tx power,IP address,x,y,z
0,-82,0,10.1.1.1,40.4761,11.1453,1.5
1,-82,0,10.1.1.2,35.4775,11.264,1.5
2,-82,0,10.1.2.1,33.6331,14.6911,1.5
3,-82,0,10.1.2.2,32.7272,19.6084,1.5
4,-82,0,10.1.3.1,19.593,59.2569,1.5
5,-82,0,10.1.3.2,22.946,55.5478,1.5
6,-82,0,10.1.4.1,79.4116,63.4512,1.5
7,-82,0,10.1.4.2,75.6542,60.1523,1.5
8,-82,0,10.1.5.1,66.808,16.4497,1.5
9,-82,0,10.1.5.2,65.4065,21.2493,1.5
10,-82,0,10.1.6.1,64.8838,10.8684,1.5
11,-82,0,10.1.6.2,65.2851,15.8522,1.5
12,-82,0,10.1.7.1,16.3546,92.0324,1.5
13,-82,0,10.1.7.2,21.3376,92.4441,1.5
14,-82,0,10.1.8.1,25.1214,8.69897,1.5
15,-82,0,10.1.8.2,28.5821,5.09013,1.5
Node,CST,Tx power,IP address,x,y,z
0,-82,0,10.1.1.1,19.0006,90.1896,1.5
1,-82,0,10.1.1.2,19.2813,95.1817,1.5
2,-82,0,10.1.2.1,76.4287,76.9972,1.5
3,-82,0,10.1.2.2,77.9781,81.7511,1.5
4,-82,0,10.1.3.1,66.7036,56.3392,1.5
5,-82,0,10.1.3.2,63.2341,59.9395,1.5
6,-82,0,10.1.4.1,11.4017,25.4594,1.5
7,-82,0,10.1.4.2,6.52864,26.5791,1.5
8,-82,0,10.1.5.1,75.2553,59.8637,1.5
9,-82,0,10.1.5.2,77.0026,55.1789,1.5
10,-82,0,10.1.6.1,92.9315,63.4283,1.5
11,-82,0,10.1.6.2,95.6258,67.6402,1.5
12,-82,0,10.1.7.1,77.293,5.1121,1.5
13,-82,0,10.1.7.2,72.5851,3.42824,1.5
14,-82,0,10.1.8.1,30.577,56.4922,1.5
15,-82,0,10.1.8.2,30.9106,51.5034,1.5
Node,CST,Tx power,IP address,x,y,z
0,-82,0,10.1.1.1,70.0382,94.1602,1.5
1,-82,0,10.1.1.2,74.9635,95.0215,1.5
2,-82,0,10.1.2.1,59.5078,75.6887,1.5
3,-82,0,10.1.2.2,54.5448,75.0813,1.5
4,-82,0,10.1.3.1,44.2632,50.743,1.5
5,-82,0,10.1.3.2,48.1778,47.6323,1.5
6,-82,0,10.1.4.1,87.715,78.8192,1.5
7,-82,0,10.1.4.2,85.6023,74.2875,1.5
8,-82,0,10.1.5.1,5.99715,13.6717,1.5
9,-82,0,10.1.5.2,5.76739,18.6664,1.5
10,-82,0,10.1.6.1,51.1209,79.8428,1.5
11,-82,0,10.1.6.2,46.3385,81.3019,1.5
12,-82,0,10.1.7.1,20.5057,91.7835,1.5
13,-82,0,10.1.7.2,21.0083,96.7582,1.5
14,-82,0,10.1.8.1,42.4568,42.3712,1.5
15,-82,0,10.1.8.2,43.2281,37.4311,1.5
