Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,172.566,58.0465,180.642,60.583,1.75819,1.24425,56.4477,0.568784,0.132616,0,0.012128,0,0,0.42404,320992,484055936,293850,443125800,288693,435349044,10316,184,0,0,0,0
1,0,0,0,0,0.028359,3.66547,0.342648,55.9772,54.9049,0,0.161836,0,0,0.910464,0,0,0,0,0,0,0,0,288721,435391268,0,0
2,0,0.729068,0,0,1.95664,32.8707,2.02237,23.2009,0.01568,0,0.085872,0,0,23.0993,94417,142380836,9570,14431560,3626,5468008,195,154,0,0,0,0
3,0,0,0,0,0.146758,3.45227,0.025276,56.4263,1.0169,0,0.253208,0.51472,0,54.6415,0,0,0,0,0,0,0,0,3626,5468008,0,0
4,0,55.9619,0,59.6878,2.65523,0.451616,55.0661,1.84743,0.13156,0,0.007488,0,0,1.70838,321003,484072524,285468,430485744,278325,419714100,9944,255,0,0,0,0
5,0,0,0,0,0.201794,2.57364,0.335572,56.9041,52.936,0,0.14302,0,0,3.82503,0,0,0,0,0,0,0,0,278353,419756324,0,0
6,0,57.8288,0,60.3707,1.90175,0.835034,56.9515,0.367672,0.151788,0,0.008744,0,0,0.20714,321008,484080064,296298,446817384,287610,433715880,10329,253,0,0,0,0
7,0,0,0,0,0.270093,2.75125,0.369968,56.6593,55.0125,0,0.203524,0.47422,0,0.969092,0,0,0,0,0,0,0,0,287610,433715880,0,0
Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
