10,0
11,730588
12,1.35754e+06
13,2.05604e+06
14,2.80967e+06
15,3.53769e+06
16,4.22221e+06
17,4.9206e+06
18,5.58001e+06
19,6.23256e+06
20,6.87339e+06
21,7.50339e+06
22,8.22309e+06
23,8.94203e+06
24,9.65599e+06
25,1.04271e+07
26,1.11541e+07
27,1.18844e+07
28,1.26395e+07
29,1.33898e+07
30,1.41166e+07
31,1.47894e+07
32,1.54179e+07
33,1.62065e+07
34,1.6896e+07
35,1.75974e+07
36,1.83317e+07
37,1.90448e+07
38,1.97532e+07
39,2.04355e+07
40,2.11446e+07
41,2.19097e+07
42,2.26922e+07
43,2.34909e+07
44,2.4267e+07
45,2.49926e+07
46,2.57417e+07
47,2.65434e+07
48,2.72864e+07
49,2.81071e+07
50,2.87875e+07
51,2.9508e+07
52,3.02633e+07
53,3.09884e+07
54,3.16962e+07
55,3.24505e+07
56,3.31725e+07
57,3.38756e+07
58,3.46696e+07
59,3.54409e+07
60,3.62336e+07
61,3.6996e+07
62,3.77199e+07
63,3.84403e+07
64,3.92425e+07
65,3.99969e+07
66,4.08251e+07
67,4.15944e+07
68,4.23112e+07
69,4.30562e+07
70,4.38832e+07
71,4.4663e+07
72,4.54895e+07
73,4.61881e+07
74,4.70424e+07
75,4.78709e+07
76,4.8673e+07
77,4.9486e+07
78,5.02848e+07
79,5.10782e+07
80,5.18787e+07
81,5.2627e+07
82,5.32984e+07
83,5.41263e+07
84,5.49847e+07
85,5.58206e+07
86,5.66831e+07
87,5.75469e+07
88,5.83802e+07
89,5.92315e+07
90,6.01144e+07
91,6.09758e+07
92,6.18368e+07
93,6.26703e+07
94,6.35141e+07
95,6.4332e+07
96,6.51833e+07
97,6.59749e+07
98,6.6803e+07
99,6.75812e+07
100,6.84318e+07
101,6.92875e+07
102,7.01105e+07
103,7.09148e+07
104,7.1797e+07
105,7.26321e+07
106,7.34625e+07
107,7.43291e+07
108,7.52509e+07
109,7.60706e+07
