Unable to init server: Could not connect: Connection refused
Unable to init server: Could not connect: Connection refused

(mab_agents.py:22948): Gdk-CRITICAL **: 02:40:28.981: gdk_cursor_new_for_display: assertion 'GDK_IS_DISPLAY (display)' failed
Simulation time: 100.0 s
Seed: 1
Waiting for simulation script to connect on port: tcp://localhost:50001
Please start proper ns-3 simulation script using ./waf --run "..."
Start
Progress: 0% 10% 20% 30% 40% 50% 60% 70% 80% 90% 100%
Done
Final step: 5264
Node    CST    Tx pow                    Mean                     Std    Played (s)    Played (count)
   5  -82.0        23    0.003016000000000001    0.288675134594812866          5.50                11
   5  -81.0        23    0.001286826666666663    0.316227766016837941          4.50                 9
   5  -79.0        23    0.000000000000000000    0.316227766016837941          4.50                 9
   5  -78.0        23    0.002502162962962965    0.333333333333333315          4.00                 8
   5  -75.0        23    0.002502162962962965    0.333333333333333315          4.00                 8
   5  -74.0        23    0.002047224242424245    0.301511344577763629          5.00                10
   5  -73.0        23    0.022373236363636369    0.301511344577763629          5.00                10
   5  -71.0        23    0.036192000000000009    0.288675134594812866          5.50                11
   5  -70.0        23    0.105069955120458317    0.267261241912424397          5.58                13
   5  -69.0        23    0.085670828147327280    0.267261241912424397          5.58                13
   5  -66.0        23    0.332158819167221953    0.200000000000000011          9.30                24
   5  -65.0        23    0.447731170148443491    0.166666666666666657         12.12                35
   5  -62.0        23    0.518969196776604136    0.140028008402800969         14.06                50
                                                                              99.81               268    Tot

Node    CST    Tx pow                    Mean                     Std    Played (s)    Played (count)
   6  -64.0        23    0.191786745768686206    0.235702260395515839          7.54                17
   6  -63.0        23    0.206702901930851557    0.196116135138184045          8.04                25
   6  -81.0        23    0.000000000000000000    0.288675134594812866          5.50                11
   6  -80.0        23    0.000000000000000000    0.288675134594812866          5.50                11
   6  -77.0        23    0.000000000000000000    0.316227766016837941          4.50                 9
   6  -76.0        23    0.000000000000000000    0.267261241912424397          6.50                13
   6  -75.0        23    0.006929066666666673    0.277350098112614574          6.00                12
   6  -74.0        23    0.017431123027225152    0.316227766016837941          4.37                 9
   6  -73.0        23    0.013773066666666681    0.353553390593273786          3.50                 7
   6  -72.0        23    0.030460741478090313    0.288675134594812866          5.31                11
   6  -71.0        23    0.016931268531218974    0.277350098112614574          5.92                12
   6  -69.0        23    0.032170666666666674    0.277350098112614574          6.00                12
   6  -68.0        23    0.044481808171994097    0.277350098112614574          5.94                12
   6  -67.0        23    0.042281571357612277    0.258198889747161098          6.82                14
   6  -66.0        23    0.164930666494429973    0.242535625036332969          5.96                16
   6  -65.0        23    0.163932303097585580    0.235702260395515839          6.33                17
   6  -62.0        23    0.260074541703985862    0.213200716355610442          5.82                21
                                                                              99.55               229    Tot

Node    CST    Tx pow                    Mean                     Std    Played (s)    Played (count)
   7  -63.0        23    0.436559493911854335    0.158113883008418971         12.34                39
   7  -81.0        23    0.000000000000000000    0.333333333333333315          4.00                 8
   7  -80.0        23    0.002047224242424245    0.301511344577763629          5.00                10
   7  -79.0        23    0.011714915493985772    0.277350098112614574          5.78                12
   7  -78.0        23    0.005763911111111123    0.288675134594812866          5.00                11
   7  -76.0        23    0.025334400000000014    0.353553390593273786          3.50                 7
   7  -75.0        23    0.038604800000000002    0.267261241912424397          6.50                13
   7  -73.0        23    0.062424360687295365    0.250000000000000000          6.21                15
   7  -72.0        23    0.064155733333333367    0.277350098112614574          6.00                12
   7  -71.0        23    0.084787524802609718    0.258198889747161098          6.76                14
   7  -70.0        23    0.071732809053800806    0.316227766016837941          4.45                 9
   7  -69.0        23    0.119220302656704621    0.267261241912424397          5.71                13
   7  -68.0        23    0.175682702636883903    0.250000000000000000          5.49                15
   7  -66.0        23    0.361991971771392196    0.174077655955697852         11.33                32
   7  -62.0        23    0.512189762972134033    0.147441956154897136         11.59                45
                                                                              99.67               255    Tot

Node    CST    Tx pow                    Mean                     Std    Played (s)    Played (count)
   8  -82.0        23    0.004584320000000008    0.316227766016837941          4.50                 9
   8  -80.0        23    0.010236121212121212    0.301511344577763629          5.00                10
   8  -79.0        23    0.025442523341233193    0.316227766016837941          4.29                 9
   8  -78.0        23    0.120003716545443964    0.301511344577763629          4.52                10
   8  -77.0        23    0.051294340740740754    0.333333333333333315          4.00                 8
   8  -76.0        23    0.050887106305597493    0.301511344577763629          4.28                10
   8  -75.0        23    0.086116553063436754    0.288675134594812866          4.75                11
   8  -74.0        23    0.092990080125171723    0.301511344577763629          4.14                10
   8  -73.0        23    0.065344264830983531    0.288675134594812866          5.31                11
   8  -71.0        23    0.263827552492041095    0.229415733870561772          7.70                18
   8  -69.0        23    0.185057515349791757    0.258198889747161098          5.88                14
   8  -68.0        23    0.365455046565066499    0.182574185835055358         11.57                29
   8  -67.0        23    0.325627255370842028    0.213200716355610442          7.37                21
   8  -66.0        23    0.366772906746669347    0.218217890235992362          7.08                20
   8  -65.0        23    0.398433228224473857    0.196116135138184045          8.26                25
   8  -62.0        23    0.541114245253119241    0.149071198499985985         11.28                44
                                                                              99.93               259    Tot

Node    CST    Tx pow                    Mean                     Std    Played (s)    Played (count)
   9  -64.0        23    0.550519078474875245    0.147441956154897136          9.27                45
   9  -63.0        23    0.517769143849837854    0.166666666666666657          5.24                35
   9  -82.0        23    0.020363786414882991    0.333333333333333315          3.82                 8
   9  -81.0        23    0.049864533333333336    0.333333333333333315          4.00                 8
   9  -80.0        23    0.126780933213876540    0.316227766016837941          3.88                 9
   9  -79.0        23    0.068852726310918447    0.288675134594812866          5.44                11
   9  -78.0        23    0.076697793939393952    0.301511344577763629          5.00                10
   9  -77.0        23    0.119397042424242442    0.301511344577763629          5.00                10
   9  -76.0        23    0.074575750855757988    0.316227766016837941          3.86                 9
   9  -75.0        23    0.111051072341455434    0.316227766016837941          4.48                 9
   9  -74.0        23    0.239784565548660206    0.258198889747161098          6.36                14
   9  -72.0        23    0.321473926890907091    0.242535625036332969          6.48                16
   9  -71.0        23    0.486487449999681465    0.185695338177051861          8.88                28
   9  -70.0        23    0.437708290766264940    0.196116135138184045          8.06                25
   9  -69.0        23    0.578580233421705947    0.145864991497894558         11.59                46
   9  -68.0        23    0.412877903169808158    0.204124145231931509          5.16                23
   9  -62.0        23    0.451413305173596791    0.218217890235992362          3.18                20
                                                                              99.68               326    Tot

Node    CST    Tx pow                    Mean                     Std    Played (s)    Played (count)
  10  -64.0        23    0.497507445084464706    0.152498570332604666          9.13                42
  10  -63.0        23    0.518646842063447244    0.140028008402800969          9.53                50
  10  -81.0        23    0.000000000000000000    0.333333333333333315          4.00                 8
  10  -80.0        23    0.005361777777777781    0.288675134594812866          5.50                11
  10  -79.0        23    0.008554472727272729    0.301511344577763629          5.00                10
  10  -78.0        23    0.031337337350063402    0.316227766016837941          4.27                 9
  10  -76.0        23    0.052579182568464174    0.277350098112614574          5.73                12
  10  -75.0        23    0.102674336372424610    0.277350098112614574          5.55                12
  10  -74.0        23    0.059886933333333343    0.277350098112614574          6.00                12
  10  -73.0        23    0.058030933333333340    0.277350098112614574          6.00                12
  10  -72.0        23    0.165330611154207635    0.242535625036332969          6.84                16
  10  -70.0        23    0.216906855753810995    0.242535625036332969          5.69                16
  10  -68.0        23    0.359222633826987936    0.213200716355610442          7.64                21
  10  -66.0        23    0.422203830182659723    0.192450089729875262          7.35                26
  10  -65.0        23    0.447219295078900847    0.192450089729875262          6.40                26
  10  -62.0        23    0.393856816607594307    0.188982236504613599          5.31                27
                                                                              99.95               310    Tot

Node    CST    Tx pow                    Mean                     Std    Played (s)    Played (count)
  11  -63.0        23    0.231957276531439827    0.213200716355610442          5.22                21
  11  -82.0        23    0.000123733333333330    0.277350098112614574          6.00                12
  11  -80.0        23    0.006893714285714287    0.267261241912424397          6.50                13
  11  -79.0        23    0.004503893333333338    0.258198889747161098          6.50                14
  11  -78.0        23    0.008096284444444445    0.258198889747161098          7.00                14
  11  -77.0        23    0.061843234606059623    0.301511344577763629          4.51                10
  11  -75.0        23    0.041744939617618299    0.242535625036332969          6.85                16
  11  -73.0        23    0.044092737254901974    0.242535625036332969          8.00                16
  11  -72.0        23    0.085567692795091882    0.258198889747161098          5.71                14
  11  -71.0        23    0.155450303821329239    0.218217890235992362          7.62                20
  11  -69.0        23    0.203426500507282310    0.223606797749978964          8.08                19
  11  -68.0        23    0.199447623327937085    0.208514414057074771          8.50                22
  11  -67.0        23    0.148740275898821078    0.235702260395515839          6.53                17
  11  -65.0        23    0.149824758873422087    0.223606797749978964          7.04                19
  11  -62.0        23    0.252907457967625260    0.196116135138184045          5.73                25
                                                                              99.80               252    Tot

Node    CST    Tx pow                    Mean                     Std    Played (s)    Played (count)
  12  -64.0        23    0.374110993767590494    0.182574185835055358          9.89                29
  12  -81.0        23    0.010236121212121222    0.301511344577763629          5.00                10
  12  -80.0        23    0.009007786666666675    0.316227766016837941          4.50                 9
  12  -78.0        23    0.016450909090909096    0.301511344577763629          5.00                10
  12  -77.0        23    0.021637482783965867    0.301511344577763629          4.72                10
  12  -76.0        23    0.057011406609931016    0.288675134594812866          4.80                11
  12  -75.0        23    0.090927647514135734    0.267261241912424397          6.12                13
  12  -74.0        23    0.055348169696969721    0.301511344577763629          5.00                10
  12  -72.0        23    0.120610266015325873    0.258198889747161098          6.24                14
  12  -71.0        23    0.083147305357551479    0.316227766016837941          3.83                 9
  12  -70.0        23    0.128031002697893692    0.267261241912424397          6.44                13
  12  -69.0        23    0.162319063059719493    0.250000000000000000          6.59                15
  12  -68.0        23    0.320896217713685539    0.213200716355610442          6.52                21
  12  -67.0        23    0.233863587213366364    0.235702260395515839          6.39                17
  12  -65.0        23    0.358361603287823183    0.213200716355610442          7.99                21
  12  -62.0        23    0.499001846320022813    0.150755672288881815         10.97                43
                                                                              99.99               255    Tot

Node    CST    Tx pow                    Mean                     Std    Played (s)    Played (count)
  13  -63.0        23    0.163073577792377328    0.223606797749978964          8.79                19
  13  -82.0        23    0.001501297777777779    0.258198889747161098          7.00                14
  13  -80.0        23    0.001974109090909090    0.301511344577763629          4.00                10
  13  -78.0        23    0.003686222222222223    0.288675134594812866          5.50                11
  13  -77.0        23    0.012283345454545465    0.301511344577763629          5.00                10
  13  -76.0        23    0.020489164766481691    0.267261241912424397          6.07                13
  13  -74.0        23    0.012293790476190478    0.267261241912424397          6.45                13
  13  -73.0        23    0.031768533333333328    0.288675134594812866          5.50                11
  13  -72.0        23    0.017173364665320417    0.353553390593273786          3.13                 7
  13  -71.0        23    0.047759027235873108    0.288675134594812866          5.21                11
  13  -70.0        23    0.057015096711259199    0.277350098112614574          5.18                12
  13  -69.0        23    0.068895972155576579    0.288675134594812866          5.28                11
  13  -68.0        23    0.067321341846653893    0.277350098112614574          5.91                12
  13  -67.0        23    0.061970189759678267    0.277350098112614574          5.89                12
  13  -66.0        23    0.149231924386126064    0.250000000000000000          6.58                15
  13  -65.0        23    0.138405843121054806    0.229415733870561772          6.87                18
  13  -62.0        23    0.282566648887215222    0.208514414057074771          7.25                22
                                                                              99.59               221    Tot

Node    CST    Tx pow                    Mean                     Std    Played (s)    Played (count)
  14  -64.0        23    0.463182054468514959    0.158113883008418971         13.06                39
  14  -63.0        23    0.511581376397713949    0.149071198499985985         12.92                44
