Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,171.319,57.914,173.874,58.5562,3.06,0.6078,95.9519,0.477184,0.238848,0,0.001032,0.00456,0,0.232744,534988,806761904,499248,752865984,480056,723924448,17148,683,0,0,0,0
1,0,0,0,0,0.127365,4.15935,0.607748,95.1971,93.3439,0,0.235732,0.320964,0,1.2965,0,0,0,0,0,0,0,0,490696,739969568,0,0
2,0,27.6532,0,26.9896,2.85644,1.29167,51.0063,44.8978,0.16114,0,0.39766,0.000216,0,44.3388,534996,806773968,264413,398734804,229221,345665268,8229,1218,0,0,0,0
3,0,0,0,0,0.158936,6.85535,0.352328,92.6856,43.9415,0,0.6228,3.18185,0,44.9395,0,0,0,0,0,0,0,0,229721,346419268,0,0
4,0,57.5572,0,59.7892,4.05534,0.762027,94.6229,0.582508,0.227824,0,0.0033,0,0,0.351384,535005,806787540,490762,740069096,477099,719465292,17058,477,0,0,0,0
5,0,0,0,0,0.25414,4.14147,0.578656,95.0432,90.7959,0,0.227324,0.619676,0,3.40024,0,0,0,0,0,0,0,0,477127,719507516,0,0
6,0,28.1942,0,28.5392,2.92269,1.42566,51.7109,43.9984,0.161088,0,0.651404,0.00012,0,43.1858,535013,806799604,268093,404284244,233705,352427140,8352,1224,0,0,0,0
7,0,0,0,0,0.180422,6.70237,0.353876,92.8156,44.5545,0,1.3506,3.4857,0,43.4248,0,0,0,0,0,0,0,0,233978,352838824,0,0
Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,234.143,56.682,239.935,59.6203,3.91593,0.949798,93.6061,1.54986,0.229104,0,0.005724,0,0,1.31503,534988,806761904,485749,732509492,469844,708524752,16804,547,0,0,0,0
1,0,0,0,0,0.339277,4.61761,0.576624,94.4882,89.4836,0,0.23148,0.694024,0,4.07914,0,0,0,0,0,0,0,0,469844,708524752,0,0
2,0,57.1986,0,59.2487,3.80226,0.917989,93.9657,1.4009,0.226808,0,0.008132,0,0,1.16596,534996,806773968,487773,735561684,474126,714982008,16957,471,0,0,0,0
3,0,0,0,0,0.402193,4.44647,0.575668,94.6572,90.2544,0,0.234668,0.57176,0,3.59636,0,0,0,0,0,0,0,0,474126,714982008,0,0
4,0,60.1575,0,60.5571,2.39835,1.70558,95.7253,0.216356,0.216356,0,0,0,0,0,535005,806787540,498735,752092380,498653,751968724,17822,0,0,0,0,0
5,0,0,0,0,1.87297,2.53567,0.573836,95.0578,94.8275,0,0.230336,0,0,0,0,0,0,0,0,0,0,0,498653,751968724,0,0
6,0,60.1053,0,60.5088,2.41179,1.63002,95.7388,0.233948,0.233948,0,0,0,0,0,535013,806799604,498698,752036584,498220,751315760,17820,0,0,0,0,0
7,0,0,0,0,1.80291,2.54358,0.598728,95.064,94.8336,0,0.230336,0,0,0,0,0,0,0,0,0,0,0,498220,751315760,0,0
Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,234.713,58.865,241.23,60.4605,3.03181,1.45709,95.2428,0.339952,0.339952,0,0,0,0,0,534988,806761904,495156,746695248,487939,735812012,17574,116,0,0,0,0
1,0,0,0,0,0.34017,4.49629,0.745212,94.4847,93.6281,0,0.229876,0,0,0.626684,0,0,0,0,0,0,0,0,487939,735812012,0,0
2,0,58.7541,0,60.7181,3.03334,0.97785,95.6385,0.354312,0.231752,0,7.2e-05,0,0,0.122488,534996,806773968,497478,750196824,487020,734426160,17457,315,0,0,0,0
3,0,0,0,0,0.097564,4.44988,0.590236,94.8612,92.9468,0,0.226916,0.409948,0,1.27762,0,0,0,0,0,0,0,0,487076,734510608,0,0
4,0,59.3037,0,60.6843,2.92968,0.712745,95.9998,0.46218,0.225204,0,0.000816,0,0,0.23616,535005,806787540,499697,753543076,491576,741296608,17567,279,0,0,0,0
5,0,0,0,0,0.165717,4.23054,0.582544,95.1202,93.5375,0,0.229168,0.459576,0,0.893996,0,0,0,0,0,0,0,0,491576,741296608,0,0
6,0,57.7903,0,59.3669,3.8297,0.872022,94.7901,0.568176,0.2285,0,0.004264,0,0,0.335412,535013,806799604,492006,741945048,479031,722378748,17138,443,0,0,0,0
7,0,0,0,0,0.288635,4.12644,0.580812,95.0588,91.2101,0,0.229724,0.77198,0,2.84704,0,0,0,0,0,0,0,0,479059,722420972,0,0
Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,176.843,61.0373,178.059,61.039,2.39568,0.289296,97.1082,0.216968,0.216968,0,0,0,0,0,534988,806761904,505974,763008792,505946,762966568,18081,0,0,0,0,0
1,0,0,0,0,2.39959,0.59424,0.578588,96.4324,96.202,0,0.230336,0,0,0,0,0,0,0,0,0,0,0,505946,762966568,0,0
2,0,26.8605,0,27.6772,2.92756,1.51284,51.5439,44.0673,0.174564,0,42.2135,0.001644,0,1.67757,534996,806773968,267108,402798864,222650,335756200,7971,1569,0,0,0,0
3,0,0,0,0,1.7617,3.98464,0.378032,93.9218,42.548,0,42.5375,5.66161,0,3.17475,0,0,0,0,0,0,0,0,222798,335979384,0,0
4,0,60.674,0,60.6023,2.37241,0.820772,96.5873,0.223996,0.223996,0,0,0,0,0,535005,806787540,503203,758830124,502934,758424472,17983,0,0,0,0,0
5,0,0,0,0,2.30649,1.19397,0.587076,95.9116,95.6813,0,0.230336,0,0,0,0,0,0,0,0,0,0,0,502934,758424472,0,0
6,0,28.2711,0,28.7407,2.7333,1.84729,53.7082,41.7628,0.180488,0,40.3685,0.00474,0,1.20906,535013,806799604,278475,419940300,234343,353389244,8405,1544,0,0,0,0
7,0,0,0,0,2.3245,3.25333,0.405636,94.0628,44.8914,0,40.6645,6.46078,0,2.0461,0,0,0,0,0,0,0,0,234602,353779816,0,0
Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,226.093,54.2378,240.846,59.7554,5.42138,0.929686,91.6896,2.04299,0.234492,0,0.006692,0,0,1.80181,534988,806761904,473569,714142052,449584,677972672,16077,837,0,0,0,0
1,0,0,0,0,0.216475,5.39572,0.57348,93.8927,85.6464,0,0.228428,0.788908,0,7.22891,0,0,0,0,0,0,0,0,449668,678099344,0,0
2,0,57.5625,0,60.6337,4.14363,0.697643,94.5263,0.6931,0.227304,0,0.001448,0,0,0.464348,534996,806773968,490342,739435736,477143,719531644,17054,459,0,0,0,0
3,0,0,0,0,0.309921,4.2911,0.577824,94.8765,90.8125,0,0.228944,0.389796,0,3.44527,0,0,0,0,0,0,0,0,477143,719531644,0,0
4,0,56.8319,0,60.0256,3.98532,1.07964,93.8717,1.06556,0.230836,0,0.009508,0,0,0.82522,535005,806787540,486999,734394492,471087,710399196,16857,546,0,0,0,0
5,0,0,0,0,0.442627,4.49366,0.579876,94.4807,89.7086,0,0.241196,0.69212,0,3.8388,0,0,0,0,0,0,0,0,471087,710399196,0,0
6,0,57.4611,0,60.431,4.16648,0.609033,94.5921,0.639516,0.228608,0,0.00096,0,0,0.409948,535013,806799604,490567,739775036,476302,718263416,17031,497,0,0,0,0
7,0,0,0,0,0.271845,4.17632,0.579328,94.9743,90.6479,0,0.227144,0.383328,0,3.71596,0,0,0,0,0,0,0,0,476302,718263416,0,0
Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,171.28,58.5471,174.495,59.9243,3.71359,0.519379,95.2283,0.626496,0.224188,0,0.050416,3.6e-05,0,0.351856,534988,806761904,494637,745912596,485304,731838432,17343,329,0,0,0,0
1,0,0,0,0,0.22094,3.8024,0.577844,95.4813,92.324,0,0.231292,0.287496,0,2.63851,0,0,0,0,0,0,0,0,485388,731965104,0,0
2,0,57.3068,0,58.4718,3.16617,0.592114,95.6637,0.64722,0.242364,0,0.0065,0.006228,0,0.392128,534996,806773968,497507,750240556,475023,716334684,16969,800,0,0,0,0
