802.11n,36,40,8,1,56
Standard,Channel number,Simulation time,Nb of nodes,STAs per AP,Seed
802.11n,36,40,8,1,57
Standard,Channel number,Simulation time,Nb of nodes,STAs per AP,Seed
802.11n,36,40,8,1,58
Standard,Channel number,Simulation time,Nb of nodes,STAs per AP,Seed
802.11n,36,40,8,1,59
Standard,Channel number,Simulation time,Nb of nodes,STAs per AP,Seed
802.11n,36,40,8,1,60
Standard,Channel number,Simulation time,Nb of nodes,STAs per AP,Seed
802.11n,36,40,8,1,61
Standard,Channel number,Simulation time,Nb of nodes,STAs per AP,Seed
802.11n,36,40,8,1,62
Standard,Channel number,Simulation time,Nb of nodes,STAs per AP,Seed
802.11n,36,40,8,1,63
Standard,Channel number,Simulation time,Nb of nodes,STAs per AP,Seed
802.11n,36,40,8,1,64
Standard,Channel number,Simulation time,Nb of nodes,STAs per AP,Seed
802.11n,36,40,8,1,65
Standard,Channel number,Simulation time,Nb of nodes,STAs per AP,Seed
802.11n,36,40,8,1,66
Standard,Channel number,Simulation time,Nb of nodes,STAs per AP,Seed
802.11n,36,40,8,1,67
Standard,Channel number,Simulation time,Nb of nodes,STAs per AP,Seed
802.11n,36,40,8,1,68
Standard,Channel number,Simulation time,Nb of nodes,STAs per AP,Seed
802.11n,36,40,8,1,69
Standard,Channel number,Simulation time,Nb of nodes,STAs per AP,Seed
802.11n,36,40,8,1,70
Standard,Channel number,Simulation time,Nb of nodes,STAs per AP,Seed
802.11n,36,40,8,1,71
Standard,Channel number,Simulation time,Nb of nodes,STAs per AP,Seed
802.11n,36,40,8,1,72
Standard,Channel number,Simulation time,Nb of nodes,STAs per AP,Seed
802.11n,36,40,8,1,73
Standard,Channel number,Simulation time,Nb of nodes,STAs per AP,Seed
802.11n,36,40,8,1,74
Standard,Channel number,Simulation time,Nb of nodes,STAs per AP,Seed
802.11n,36,40,8,1,75
Standard,Channel number,Simulation time,Nb of nodes,STAs per AP,Seed
802.11n,36,40,8,1,76
Standard,Channel number,Simulation time,Nb of nodes,STAs per AP,Seed
802.11n,36,40,8,1,77
Standard,Channel number,Simulation time,Nb of nodes,STAs per AP,Seed
802.11n,36,40,8,1,78
Standard,Channel number,Simulation time,Nb of nodes,STAs per AP,Seed
802.11n,36,40,8,1,79
Standard,Channel number,Simulation time,Nb of nodes,STAs per AP,Seed
802.11n,36,40,8,1,80
Standard,Channel number,Simulation time,Nb of nodes,STAs per AP,Seed
802.11n,36,40,8,1,81
Standard,Channel number,Simulation time,Nb of nodes,STAs per AP,Seed
802.11n,36,40,8,1,82
Standard,Channel number,Simulation time,Nb of nodes,STAs per AP,Seed
802.11n,36,40,8,1,83
Standard,Channel number,Simulation time,Nb of nodes,STAs per AP,Seed
802.11n,36,40,8,1,84
Standard,Channel number,Simulation time,Nb of nodes,STAs per AP,Seed
802.11n,36,40,8,1,85
Standard,Channel number,Simulation time,Nb of nodes,STAs per AP,Seed
802.11n,36,40,8,1,86
Standard,Channel number,Simulation time,Nb of nodes,STAs per AP,Seed
802.11n,36,40,8,1,87
Standard,Channel number,Simulation time,Nb of nodes,STAs per AP,Seed
802.11n,36,40,8,1,88
Standard,Channel number,Simulation time,Nb of nodes,STAs per AP,Seed
802.11n,36,40,8,1,89
Standard,Channel number,Simulation time,Nb of nodes,STAs per AP,Seed
802.11n,36,40,8,1,90
Standard,Channel number,Simulation time,Nb of nodes,STAs per AP,Seed
802.11n,36,40,8,1,91
Standard,Channel number,Simulation time,Nb of nodes,STAs per AP,Seed
802.11n,36,40,8,1,92
Standard,Channel number,Simulation time,Nb of nodes,STAs per AP,Seed
802.11n,36,40,8,1,93
Standard,Channel number,Simulation time,Nb of nodes,STAs per AP,Seed
802.11n,36,40,8,1,94
Standard,Channel number,Simulation time,Nb of nodes,STAs per AP,Seed
802.11n,36,40,8,1,95
Standard,Channel number,Simulation time,Nb of nodes,STAs per AP,Seed
802.11n,36,40,8,1,96
Standard,Channel number,Simulation time,Nb of nodes,STAs per AP,Seed
802.11n,36,40,8,1,97
Standard,Channel number,Simulation time,Nb of nodes,STAs per AP,Seed
802.11n,36,40,8,1,98
Standard,Channel number,Simulation time,Nb of nodes,STAs per AP,Seed
802.11n,36,40,8,1,99
Standard,Channel number,Simulation time,Nb of nodes,STAs per AP,Seed
802.11n,36,40,8,1,100
