Node,CST,Tx power,IP address,x,y,z
45,-82,0,10.1.23.2,61.448,29.38,1.5
46,-82,0,10.1.24.1,11.5234,55.6129,1.5
47,-82,0,10.1.24.2,12.5119,55.4614,1.5
48,-82,0,10.1.25.1,51.0172,57.9338,1.5
49,-82,0,10.1.25.2,51.9488,58.2972,1.5
50,-82,0,10.1.26.1,72.9593,42.5482,1.5
51,-82,0,10.1.26.2,72.0617,42.9891,1.5
52,-82,0,10.1.27.1,98.3069,6.07393,1.5
53,-82,0,10.1.27.2,98.6749,5.14407,1.5
54,-82,0,10.1.28.1,71.9599,4.62281,1.5
55,-82,0,10.1.28.2,72.6238,5.37067,1.5
56,-82,0,10.1.29.1,36.0347,21.4435,1.5
57,-82,0,10.1.29.2,36.9168,21.9147,1.5
58,-82,0,10.1.30.1,16.0553,37.9868,1.5
59,-82,0,10.1.30.2,15.0685,38.1486,1.5
60,-82,0,10.1.31.1,19.257,32.7666,1.5
61,-82,0,10.1.31.2,18.8163,33.6643,1.5
62,-82,0,10.1.32.1,20.5386,40.3583,1.5
63,-82,0,10.1.32.2,19.7445,40.9661,1.5
Node,CST,Tx power,IP address,x,y,z
0,-82,0,10.1.1.1,73.4484,22.3442,1.5
1,-82,0,10.1.1.2,74.1657,23.041,1.5
2,-82,0,10.1.2.1,16.733,54.5419,1.5
3,-82,0,10.1.2.2,16.5461,55.5243,1.5
4,-82,0,10.1.3.1,78.4823,19.9749,1.5
5,-82,0,10.1.3.2,78.9913,20.8356,1.5
6,-82,0,10.1.4.1,70.8098,51.3831,1.5
7,-82,0,10.1.4.2,70.1704,50.6143,1.5
8,-82,0,10.1.5.1,32.6407,44.5283,1.5
9,-82,0,10.1.5.2,31.644,44.4474,1.5
10,-82,0,10.1.6.1,70.33,70.2519,1.5
11,-82,0,10.1.6.2,69.3337,70.3381,1.5
12,-82,0,10.1.7.1,98.9398,7.1805,1.5
13,-82,0,10.1.7.2,98.4008,8.02278,1.5
14,-82,0,10.1.8.1,23.6302,83.531,1.5
15,-82,0,10.1.8.2,22.6303,83.5467,1.5
16,-82,0,10.1.9.1,60.1753,8.72095,1.5
17,-82,0,10.1.9.2,59.6126,9.5476,1.5
18,-82,0,10.1.10.1,53.3643,11.243,1.5
19,-82,0,10.1.10.2,54.2408,10.7617,1.5
20,-82,0,10.1.11.1,91.1736,48.0743,1.5
21,-82,0,10.1.11.2,92.0774,48.5022,1.5
22,-82,0,10.1.12.1,45.6086,36.8619,1.5
23,-82,0,10.1.12.2,44.6897,37.2563,1.5
24,-82,0,10.1.13.1,70.2938,1.57292,1.5
25,-82,0,10.1.13.2,69.4784,2.15179,1.5
26,-82,0,10.1.14.1,40.3701,94.1888,1.5
27,-82,0,10.1.14.2,41.3701,94.196,1.5
28,-82,0,10.1.15.1,43.747,75.422,1.5
29,-82,0,10.1.15.2,44.6805,75.0633,1.5
30,-82,0,10.1.16.1,84.7517,71.002,1.5
31,-82,0,10.1.16.2,83.7595,71.1261,1.5
32,-82,0,10.1.17.1,16.7434,62.3125,1.5
33,-82,0,10.1.17.2,16.1813,61.4854,1.5
34,-82,0,10.1.18.1,8.05457,96.7237,1.5
35,-82,0,10.1.18.2,8.62287,97.5465,1.5
36,-82,0,10.1.19.1,17.2472,12.2916,1.5
37,-82,0,10.1.19.2,17.6476,11.3753,1.5
38,-82,0,10.1.20.1,62.4743,11.6751,1.5
39,-82,0,10.1.20.2,62.7961,12.6219,1.5
40,-82,0,10.1.21.1,45.1228,43.6054,1.5
41,-82,0,10.1.21.2,45.3614,42.6343,1.5
42,-82,0,10.1.22.1,54.4176,35.1423,1.5
43,-82,0,10.1.22.2,55.1987,35.7668,1.5
44,-82,0,10.1.23.1,42.8307,47.817,1.5
45,-82,0,10.1.23.2,43.5344,47.1065,1.5
46,-82,0,10.1.24.1,55.9379,15.9095,1.5
47,-82,0,10.1.24.2,56.9377,15.9289,1.5
48,-82,0,10.1.25.1,90.8732,8.43961,1.5
49,-82,0,10.1.25.2,91.7463,8.92721,1.5
50,-82,0,10.1.26.1,71.9672,67.2546,1.5
51,-82,0,10.1.26.2,72.4906,68.1067,1.5
52,-82,0,10.1.27.1,50.6937,19.0489,1.5
53,-82,0,10.1.27.2,49.8479,19.5825,1.5
54,-82,0,10.1.28.1,46.3478,73.9627,1.5
55,-82,0,10.1.28.2,45.3938,74.2626,1.5
56,-82,0,10.1.29.1,52.0045,42.8756,1.5
57,-82,0,10.1.29.2,51.6618,41.9361,1.5
58,-82,0,10.1.30.1,85.538,28.7205,1.5
59,-82,0,10.1.30.2,84.8222,29.4188,1.5
60,-82,0,10.1.31.1,23.8666,33.6282,1.5
61,-82,0,10.1.31.2,23.5198,34.5661,1.5
62,-82,0,10.1.32.1,39.2332,46.6732,1.5
63,-82,0,10.1.32.2,39.1505,45.6766,1.5
Node,CST,Tx power,IP address,x,y,z
0,-82,0,10.1.1.1,67.8364,59.8258,1.5
1,-82,0,10.1.1.2,67.4674,58.8963,1.5
2,-82,0,10.1.2.1,47.3397,43.4656,1.5
3,-82,0,10.1.2.2,48.3145,43.2427,1.5
4,-82,0,10.1.3.1,83.9398,91.5097,1.5
5,-82,0,10.1.3.2,83.0027,91.8587,1.5
6,-82,0,10.1.4.1,37.6557,29.9788,1.5
7,-82,0,10.1.4.2,37.1017,30.8113,1.5
8,-82,0,10.1.5.1,36.4222,78.1685,1.5
9,-82,0,10.1.5.2,37.4113,78.0213,1.5
