Simulation time: 50.0 s
Waiting for simulation script to connect on port: tcp://localhost:50002
Please start proper ns-3 simulation script using ./waf --run "..."
Start
Progress: 0% 10% 20% 30% 40% 50% 60% 70% 80% 90% 100%
Done
Final step: 46701
Node    CST    Tx pow                    Mean                     Std    Played (s)    Played (count)
   0    -82         0    0.265418496482380584    0.078811040623910061          1.86               160
   0    -82         6    0.059813734089087467    0.111111111111111105          2.07                80
   0    -82        12    0.293605277356225935    0.111111111111111105          1.33                80
   0    -82        18    0.473160348197939229    0.049937616943892232          5.84               400
   0    -82        23    0.473620418355328421    0.039497625276668218          8.61               640
   0    -77         0    0.000607059144257478    0.111111111111111105          0.69                80
   0    -77         6    0.326616653444239402    0.064415662640083082          2.71               240
   0    -77        12    0.277520141373160945    0.111111111111111105          1.01                80
   0    -77        18    0.285679907377700104    0.111111111111111105          1.05                80
   0    -77        23    0.225035601766322674    0.111111111111111105          0.91                80
   0    -72         0    0.136736011063063101    0.111111111111111105          0.57                80
   0    -72         6    0.129597992303241344    0.111111111111111105          0.66                80
   0    -72        12    0.488614330582998191    0.035333262666878668          6.22               800
   0    -72        18    0.470023780926222767    0.045596075258755323          4.04               480
   0    -72        23    0.268868295850523853    0.111111111111111105          0.94                80
   0    -67         0    0.004591219700817512    0.111111111111111105          0.52                80
   0    -67         6    0.150123680546587895    0.078811040623910061          1.48               160
   0    -67        12    0.292564090917111275    0.111111111111111105          0.81                80
   0    -67        18    0.271783237163137792    0.111111111111111105          0.91                80
   0    -67        23    0.432336947240998637    0.055814557218594754          2.49               320
   0    -62         0    0.209290016916535981    0.111111111111111105          0.47                80
   0    -62         6    0.214310747033156584    0.111111111111111105          0.53                80
   0    -62        12    0.047993237051481508    0.111111111111111105          0.47                80
   0    -62        18    0.355468419622021192    0.078811040623910061          0.99               160
   0    -62        23    0.458639962826727088    0.051847584736521263          2.84               371
                                                                              50.00              4931    Tot

Node    CST    Tx pow                    Mean                     Std    Played (s)    Played (count)
   1    -82         0    0.000265824635010550    0.142857142857142849          5.68                48
   1    -82         6    0.071725678105671764    0.111111111111111105          7.16                80
   1    -82        12    0.162041552340226269    0.111111111111111105          2.23                80
   1    -82        18    0.187635644781931094    0.111111111111111105          2.58                80
   1    -82        23    0.242706516871943834    0.111111111111111105          1.49                80
   1    -77         0    0.000523570408902279    0.111111111111111105          5.03                80
   1    -77         6    0.017096251140937428    0.111111111111111105          4.72                80
   1    -77        12    0.191387018510666640    0.111111111111111105          2.30                80
   1    -77        18    0.139936137233342112    0.111111111111111105          2.41                80
   1    -77        23    0.000000000000000000    1.000000000000000000          0.00                 0
   1    -72         0    0.000330176503643034    0.111111111111111105          2.03                80
   1    -72         6    0.000000000000000000    1.000000000000000000          0.00                 0
   1    -72        12    0.000000000000000000    1.000000000000000000          0.00                 0
   1    -72        18    0.169483407551007381    0.111111111111111105          1.35                80
   1    -72        23    0.228392007512457029    0.111111111111111105          1.42                80
   1    -67         0    0.000000000000000000    0.111111111111111105          1.38                80
   1    -67         6    0.006414164812450741    0.111111111111111105          1.68                80
   1    -67        12    0.117169794563888902    0.111111111111111105          2.52                80
   1    -67        18    0.100958136397016340    0.111111111111111105          1.77                80
   1    -67        23    0.000000000000000000    1.000000000000000000          0.00                 0
   1    -62         0    0.000000000000000000    0.111111111111111105          0.50                80
   1    -62         6    0.002706615747747223    0.111111111111111105          0.94                80
   1    -62        12    0.145079782830900561    0.111111111111111105          0.71                80
   1    -62        18    0.166057054449514824    0.111111111111111105          1.08                80
   1    -62        23    0.236829765077325449    0.111111111111111105          0.92                80
                                                                              49.91              1648    Tot

Node    CST    Tx pow                    Mean                     Std    Played (s)    Played (count)
   2    -82         0    0.046636505578199663    0.111111111111111105          5.65                80
   2    -82         6    0.288545129128203848    0.111111111111111105          2.93                80
   2    -82        12    0.451979785649450627    0.105999788000636003          5.55                88
   2    -82        18    0.461267468466342589    0.111111111111111105          2.10                80
   2    -82        23    0.267975321166149583    0.111111111111111105          4.85                80
   2    -77         0    0.205034578472199913    0.111111111111111105          1.42                80
   2    -77         6    0.271255553217378154    0.078811040623910061          3.45               160
   2    -77        12    0.387807437345264683    0.111111111111111105          1.50                80
   2    -77        18    0.254052660992843682    0.111111111111111105          1.37                80
   2    -77        23    0.329094114723482600    0.078811040623910061          2.97               160
   2    -72         0    0.063270485803631302    0.111111111111111105          1.04                80
   2    -72         6    0.280101848058973091    0.111111111111111105          1.81                80
   2    -72        12    0.344539482640414285    0.111111111111111105          1.07                80
   2    -72        18    0.215078561527465129    0.111111111111111105          1.76                80
   2    -72        23    0.200561603780511050    0.111111111111111105          2.96                80
   2    -67         0    0.152558995530641534    0.111111111111111105          0.72                80
   2    -67         6    0.183567853903333800    0.078811040623910061          2.06               160
   2    -67        12    0.218089400735449607    0.111111111111111105          1.04                80
   2    -67        18    0.422407135003766698    0.064415662640083082          1.73               240
   2    -67        23    0.240190573997238282    0.111111111111111105          0.63                80
   2    -62         0    0.137819652983417668    0.111111111111111105          0.49                80
   2    -62         6    0.430427063838698054    0.111111111111111105          0.45                80
   2    -62        12    0.404245514569534226    0.111111111111111105          0.53                80
   2    -62        18    0.425965405799309027    0.078811040623910061          1.19               160
   2    -62        23    0.240916696143577636    0.111111111111111105          0.64                80
                                                                              49.90              2488    Tot

Node    CST    Tx pow                    Mean                     Std    Played (s)    Played (count)
   3    -82         0    0.019284292841369434    0.111111111111111105          6.32                80
   3    -82         6    0.024743556434149688    0.111111111111111105         10.73                80
   3    -82        12    0.343344357557172131    0.111111111111111105          3.24                80
