Node,CST,Tx power,IP address,x,y,z
12,-82,0,10.1.7.1,27.1151,49.3962,1.5
13,-82,0,10.1.7.2,27.3157,46.4029,1.5
14,-82,0,10.1.8.1,53.2371,84.8357,1.5
15,-82,0,10.1.8.2,56.2156,85.1944,1.5
16,-82,0,10.1.9.1,17.0929,54.7574,1.5
17,-82,0,10.1.9.2,19.8555,55.927,1.5
18,-82,0,10.1.10.1,68.6017,3.94143,1.5
19,-82,0,10.1.10.2,68.1196,6.90244,1.5
20,-82,0,10.1.11.1,21.3785,29.2008,1.5
21,-82,0,10.1.11.2,21.4276,32.2004,1.5
22,-82,0,10.1.12.1,57.8763,14.1389,1.5
23,-82,0,10.1.12.2,60.8126,14.7539,1.5
24,-82,0,10.1.13.1,70.3299,67.2488,1.5
25,-82,0,10.1.13.2,73.0075,68.6018,1.5
26,-82,0,10.1.14.1,74.9564,43.1093,1.5
27,-82,0,10.1.14.2,75.0273,46.1085,1.5
28,-82,0,10.1.15.1,9.01009,29.5373,1.5
29,-82,0,10.1.15.2,9.03799,26.5374,1.5
30,-82,0,10.1.16.1,86.3091,64.9794,1.5
31,-82,0,10.1.16.2,83.3841,64.3127,1.5
Node,CST,Tx power,IP address,x,y,z
0,-82,0,10.1.1.1,74.2258,18.1166,1.5
1,-82,0,10.1.1.2,72.5907,15.6013,1.5
2,-82,0,10.1.2.1,45.7555,7.26352,1.5
3,-82,0,10.1.2.2,48.0092,5.28347,1.5
4,-82,0,10.1.3.1,6.75476,80.0244,1.5
5,-82,0,10.1.3.2,5.01123,77.5831,1.5
6,-82,0,10.1.4.1,65.7072,90.0148,1.5
7,-82,0,10.1.4.2,68.7047,90.1369,1.5
8,-82,0,10.1.5.1,47.2128,32.0799,1.5
9,-82,0,10.1.5.2,46.4855,29.1694,1.5
10,-82,0,10.1.6.1,34.7745,4.98708,1.5
11,-82,0,10.1.6.2,37.5087,3.75245,1.5
12,-82,0,10.1.7.1,4.76917,19.8558,1.5
13,-82,0,10.1.7.2,7.63964,20.7278,1.5
14,-82,0,10.1.8.1,60.155,68.6529,1.5
15,-82,0,10.1.8.2,61.0796,71.5068,1.5
16,-82,0,10.1.9.1,66.5647,91.9625,1.5
17,-82,0,10.1.9.2,66.0269,89.0111,1.5
18,-82,0,10.1.10.1,93.9517,76.42,1.5
19,-82,0,10.1.10.2,91.7405,74.3926,1.5
20,-82,0,10.1.11.1,46.1589,25.8988,1.5
21,-82,0,10.1.11.2,49.0294,26.7708,1.5
22,-82,0,10.1.12.1,86.3237,18.3197,1.5
23,-82,0,10.1.12.2,88.9698,19.7333,1.5
24,-82,0,10.1.13.1,31.1164,79.8151,1.5
25,-82,0,10.1.13.2,32.7793,82.312,1.5
26,-82,0,10.1.14.1,56.7242,19.4069,1.5
27,-82,0,10.1.14.2,55.5356,22.1614,1.5
28,-82,0,10.1.15.1,13.8033,48.0768,1.5
29,-82,0,10.1.15.2,10.8655,47.469,1.5
30,-82,0,10.1.16.1,29.8104,95.2451,1.5
31,-82,0,10.1.16.2,28.1378,97.7356,1.5
Node,CST,Tx power,IP address,x,y,z
0,-82,0,10.1.1.1,90.0519,5.14749,1.5
1,-82,0,10.1.1.2,90.5368,8.10803,1.5
2,-82,0,10.1.2.1,87.9527,62.1756,1.5
3,-82,0,10.1.2.2,86.7105,59.4448,1.5
4,-82,0,10.1.3.1,34.9543,62.0681,1.5
5,-82,0,10.1.3.2,33.972,59.2335,1.5
6,-82,0,10.1.4.1,13.5153,94.8255,1.5
7,-82,0,10.1.4.2,10.5957,94.1355,1.5
8,-82,0,10.1.5.1,46.4109,27.2319,1.5
9,-82,0,10.1.5.2,43.7438,25.8584,1.5
10,-82,0,10.1.6.1,86.1616,63.2752,1.5
11,-82,0,10.1.6.2,84.3087,60.9158,1.5
12,-82,0,10.1.7.1,18.2758,82.8816,1.5
13,-82,0,10.1.7.2,18.5214,85.8715,1.5
14,-82,0,10.1.8.1,9.6567,16.9121,1.5
15,-82,0,10.1.8.2,11.3766,19.3702,1.5
16,-82,0,10.1.9.1,37.2659,16.1595,1.5
17,-82,0,10.1.9.2,37.6536,19.1343,1.5
