Standard,Channel number,Simulation time,Nb of nodes,STAs per AP,Seed
802.11ac,36,60,8,1,1
Standard,Channel number,Simulation time,Nb of nodes,STAs per AP,Seed
802.11ac,36,60,8,1,2
Standard,Channel number,Simulation time,Nb of nodes,STAs per AP,Seed
802.11ac,36,60,8,1,3
Standard,Channel number,Simulation time,Nb of nodes,STAs per AP,Seed
802.11ac,36,60,8,1,4
Standard,Channel number,Simulation time,Nb of nodes,STAs per AP,Seed
802.11ac,36,60,8,1,5
Standard,Channel number,Simulation time,Nb of nodes,STAs per AP,Seed
802.11ac,36,60,8,1,6
Standard,Channel number,Simulation time,Nb of nodes,STAs per AP,Seed
802.11ac,36,60,8,1,7
Standard,Channel number,Simulation time,Nb of nodes,STAs per AP,Seed
802.11ac,36,60,8,1,8
Standard,Channel number,Simulation time,Nb of nodes,STAs per AP,Seed
802.11ac,36,60,8,1,9
Standard,Channel number,Simulation time,Nb of nodes,STAs per AP,Seed
802.11ac,36,60,8,1,10
Standard,Channel number,Simulation time,Nb of nodes,STAs per AP,Seed
802.11ac,36,60,8,1,11
Standard,Channel number,Simulation time,Nb of nodes,STAs per AP,Seed
802.11ac,36,60,8,1,12
Standard,Channel number,Simulation time,Nb of nodes,STAs per AP,Seed
802.11ac,36,60,8,1,13
Standard,Channel number,Simulation time,Nb of nodes,STAs per AP,Seed
802.11ac,36,60,8,1,14
Standard,Channel number,Simulation time,Nb of nodes,STAs per AP,Seed
802.11ac,36,60,8,1,15
Standard,Channel number,Simulation time,Nb of nodes,STAs per AP,Seed
802.11ac,36,60,8,1,16
Standard,Channel number,Simulation time,Nb of nodes,STAs per AP,Seed
802.11ac,36,60,8,1,17
Standard,Channel number,Simulation time,Nb of nodes,STAs per AP,Seed
802.11ac,36,60,8,1,18
Standard,Channel number,Simulation time,Nb of nodes,STAs per AP,Seed
802.11ac,36,60,8,1,19
Standard,Channel number,Simulation time,Nb of nodes,STAs per AP,Seed
802.11ac,36,60,8,1,20
