Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,68.7023,0.291748,68.7588,0.130894,6.43568,16.4667,26.1664,10.9455,0.222528,0,0.147732,0,0,10.5753,320992,484055936,128189,193309012,1451,2188108,300,4281,0,0,0,0
1,0,0,0,0,0.226631,18.4857,0.319952,40.982,1.7615,0,0.37474,20.6149,0,18.2309,0,0,0,0,0,0,0,0,1451,2188108,0,0
2,0,12.4096,0,11.9391,2.0272,3.71272,25.3387,28.9718,0.171624,0,0.661144,8.4e-05,0,28.1389,320998,484064984,130420,196673360,61719,93072252,3006,1654,0,0,0,0
3,0,0,0,0,1.10109,17.3732,0.288788,41.2873,16.1404,0,0.425672,7.3224,0,17.3988,0,0,0,0,0,0,0,0,61809,93207972,0,0
4,0,27.9639,0,27.8672,2.99482,4.16968,49.1605,3.69466,0.30372,0,0.09984,0,0,3.2911,321003,484072524,253439,382186012,139078,209729624,6462,2592,0,0,0,0
5,0,0,0,0,1.70119,6.80324,0.527428,50.9825,34.5948,0,0.260988,11.4379,0,4.68883,0,0,0,0,0,0,0,0,139136,209817088,0,0
6,0,28.0369,0,28.8215,2.48416,1.76609,33.3182,22.4872,0.23414,0,0.432596,0,0,21.8205,321008,484080064,171754,259005032,139441,210277028,5260,878,0,0,0,0
7,0,0,0,0,1.10194,6.07601,0.410872,52.4616,28.1117,0,4.94378,1.75692,0,17.6492,0,0,0,0,0,0,0,0,139441,210277028,0,0
Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,153.113,14.135,152.714,14.592,5.91601,3.96808,36.1913,13.9413,0.253764,0,0.224608,0,0,13.4629,320992,484055936,182022,274489176,70300,106012400,3395,3110,0,0,0,0
1,0,0,0,0,1.83814,7.90563,0.410492,49.8624,18.2192,0,0.426084,9.80168,0,21.4155,0,0,0,0,0,0,0,0,70300,106012400,0,0
2,0,16.9161,0,16.0608,5.81355,3.83879,38.9431,11.4265,0.258612,0,0.228016,0,0,10.9399,320998,484064984,196290,296005320,84132,126871056,3855,3158,0,0,0,0
3,0,0,0,0,1.8364,7.84077,0.42426,49.9152,20.6738,0,0.41368,9.93022,0,18.8975,0,0,0,0,0,0,0,0,84132,126871056,0,0
4,0,61.0332,0,61.0221,1.47775,0.173632,58.2634,0.13022,0.13022,0,0,0,0,0,321003,484072524,303575,457791100,303547,457748876,10852,0,0,0,0,0
5,0,0,0,0,1.4801,0.356672,0.34726,57.8556,57.7173,0,0.138296,0,0,0,0,0,0,0,0,0,0,0,303547,457748876,0,0
6,0,61.0292,0,61.039,1.45045,0.173632,58.2596,0.13022,0.13022,0,0,0,0,0,321008,484080064,303555,457760940,303527,457718716,10852,0,0,0,0,0
7,0,0,0,0,1.4528,0.356672,0.34726,57.8518,57.7135,0,0.138296,0,0,0,0,0,0,0,0,0,0,0,303527,457718716,0,0
