Simulation time: 100.0 s
Waiting for simulation script to connect on port: tcp://localhost:50005
Please start proper ns-3 simulation script using ./waf --run "..."
Start
Progress: 0% 10% 20% 30% 40% 50% 60% 70% 80% 90% 100%
Done
Final step: 95468
Node    CST    Tx pow                    Mean                     Std    Played (s)    Played (count)
   0  -64.0        23    0.562504956811840429    0.055470019622522911          3.67               324
   0  -63.0        23    0.872646155274842017    0.008822995163526536         81.45             12845
   0  -81.0        23    0.329732055584268824    0.137360563948689035          1.57                52
   0  -80.0        23    0.298525557259805230    0.142857142857142849          1.53                48
   0  -78.0        23    0.426028972662933825    0.108465228909328082          1.32                84
   0  -74.0        23    0.497411412472571757    0.083045479853739973          1.86               144
   0  -69.0        23    0.700678290334377674    0.040258484111423729          5.40               616
   0  -62.0        23    0.601461946297037531    0.055470019622522911          3.20               324
                                                                              99.99             14437    Tot

Node    CST    Tx pow                    Mean                     Std    Played (s)    Played (count)
   1  -64.0        23    0.267331014035854408    0.084215192106651890          7.35               140
   1  -81.0        23    0.100275141184613475    0.145864991497894558          8.66                46
   1  -77.0        23    0.150475722129930906    0.113960576459637947         13.54                76
   1  -72.0        23    0.121636064821855877    0.137360563948689035          9.17                52
   1  -71.0        23    0.200505855418100010    0.103695169473042526         10.96                92
   1  -69.0        23    0.280678347001994899    0.071981575074869450         17.35               192
   1  -66.0        23    0.262297315701348066    0.090909090909090912          8.73               120
   1  -65.0        23    0.308298336444402243    0.076923076923076927         13.03               168
   1  -62.0        23    0.311359158377412293    0.066666666666666666         11.10               224
                                                                              99.89              1110    Tot

Node    CST    Tx pow                    Mean                     Std    Played (s)    Played (count)
   2  -82.0        23    0.012156111687200814    0.200000000000000011         10.69                24
   2  -81.0        23    0.020192942669399437    0.218217890235992362          8.66                20
   2  -80.0        23    0.003109311143451402    0.218217890235992362          8.97                20
   2  -79.0        23    0.030128806651186706    0.218217890235992362          8.04                20
   2  -76.0        23    0.073874329775029168    0.164398987305357291         14.07                36
   2  -75.0        23    0.042189908379152007    0.242535625036332969          4.34                16
   2  -70.0        23    0.073496036456237757    0.142857142857142849         20.18                48
   2  -69.0        23    0.053633691620918383    0.235702260395515839          6.63                17
   2  -62.0        23    0.136330918871920476    0.142857142857142849         18.14                48
                                                                              99.72               249    Tot

Node    CST    Tx pow                    Mean                     Std    Played (s)    Played (count)
   3  -64.0        23    0.905566639969643816    0.011828729731830892         41.77              7146
   3  -82.0        23    0.117226723064230459    0.174077655955697852          7.46                32
   3  -80.0        23    0.131306389605684859    0.185695338177051861          5.57                28
   3  -79.0        23    0.113127615442244880    0.185695338177051861          6.43                28
   3  -77.0        23    0.221550350780946592    0.164398987305357291          4.74                36
   3  -73.0        23    0.476564043815991267    0.108465228909328082          1.88                84
   3  -71.0        23    0.491281461538395747    0.097590007294853329          3.53               104
   3  -69.0        23    0.655043261082906225    0.052342392259021368          4.56               364
   3  -68.0        23    0.684905008773354029    0.045407660918649978          4.39               484
   3  -67.0        23    0.679454130114576116    0.051502620262460476          3.67               376
   3  -66.0        23    0.747357865225931839    0.037769478730024897          5.88               700
   3  -62.0        23    0.820986370316973746    0.025811286645983367         10.13              1500
                                                                             100.00             10882    Tot

Node    CST    Tx pow                    Mean                     Std    Played (s)    Played (count)
   4  -63.0        23    0.538332870932778929    0.036735917918532250         26.45               740
   4  -81.0        23    0.116842781123681905    0.174077655955697852          6.18                32
   4  -79.0        23    0.202449871299717227    0.156173761888606072          3.54                40
   4  -78.0        23    0.110749188592971531    0.174077655955697852          4.06                32
   4  -75.0        23    0.390274942879080600    0.094072086838359728          7.14               112
   4  -73.0        23    0.374436551515532456    0.113960576459637947          3.56                76
   4  -70.0        23    0.375146086514567767    0.095782628522115137          4.39               108
   4  -68.0        23    0.493137269788584298    0.057831493196624020          9.68               298
   4  -65.0        23    0.491630621113177402    0.067884423330213065          4.71               216
   4  -62.0        23    0.549810150991075330    0.034482758620689655         30.29               840
                                                                             100.00              2494    Tot

Node    CST    Tx pow                    Mean                     Std    Played (s)    Played (count)
   5  -64.0        23    0.774563645483722474    0.014694763792571007         35.70              4630
   5  -81.0        23    0.081639306142081994    0.200000000000000011          4.47                24
   5  -80.0        23    0.208548643337491180    0.156173761888606072          7.31                40
   5  -79.0        23    0.119362182271630451    0.185695338177051861          6.84                28
   5  -78.0        23    0.124883322526497781    0.174077655955697852          6.98                32
   5  -75.0        23    0.241341973059387344    0.137360563948689035          6.26                52
   5  -70.0        23    0.403523916150102357    0.105999788000636003          2.67                88
   5  -69.0        23    0.476149279670928405    0.083045479853739973          3.70               144
   5  -65.0        23    0.595780042077036720    0.053528772757218922          3.90               348
   5  -62.0        23    0.743140650099369027    0.018761362859889375         22.17              2840
                                                                             100.00              8226    Tot

Node    CST    Tx pow                    Mean                     Std    Played (s)    Played (count)
   6  -64.0        23    0.520676597159525523    0.059234887775909240         20.41               284
   6  -81.0        23    0.110311660277255558    0.200000000000000011          5.35                24
   6  -79.0        23    0.128585226667937785    0.218217890235992362          1.72                20
   6  -78.0        23    0.235377457653243582    0.149071198499985985          6.20                44
   6  -76.0        23    0.255497903446713748    0.142857142857142849          3.82                48
   6  -75.0        23    0.379656280526857626    0.099503719020998915          6.75               100
   6  -74.0        23    0.412715415639865357    0.108465228909328082          2.19                84
   6  -73.0        23    0.373884324765732523    0.111111111111111105          2.48                80
   6  -71.0        23    0.425786914690890028    0.092450032704204863          4.11               116
   6  -70.0        23    0.402768788953753953    0.105999788000636003          1.49                88
   6  -68.0        23    0.423792427582137254    0.083045479853739973          6.70               144
