Action,CST,Tx pow,Repeat,Duration (ns),Tx ok bytes,Tx bytes,Mean,Std
0,-63.0,23.0,0,500000000,1812616,1942304,0.35791104,0.31622776601683794
3,-74.0,23.0,0,500000000,84448,84448,0.2700944,0.3535533905932738
7,-65.0,23.0,0,500000000,496132,675584,0.32331519999999997,0.28867513459481287
2,-79.0,23.0,0,500000000,0,0,0.16120685714285715,0.3779644730092272
4,-72.0,23.0,0,500000000,0,0,0.06453577142857143,0.3779644730092272
7,-65.0,23.0,0,500000000,1254656,1393392,0.3222016,0.2773500981126146
1,-82.0,23.0,0,500000000,459940,506688,0.12542435555555553,0.3333333333333333
8,-62.0,23.0,0,500000000,387556,802256,0.4002,0.25
0,-63.0,23.0,0,500000000,1429584,1731184,0.35736436363636365,0.30151134457776363
8,-62.0,23.0,0,500000000,1152112,1435616,0.3933409882352941,0.24253562503633297
5,-70.0,23.0,0,500000000,1137032,1351168,0.1584096,0.3535533905932738
4,-72.0,23.0,0,500000000,1603004,1773408,0.10579200000000001,0.3535533905932738
1,-82.0,23.0,0,500000000,606216,633360,0.12780415999999997,0.31622776601683794
3,-74.0,23.0,0,500000000,462956,633360,0.25274595555555557,0.3333333333333333
3,-74.0,23.0,0,500000000,545896,633360,0.2409088,0.31622776601683794
3,-74.0,23.0,0,500000000,380016,337792,0.22751185454545456,0.30151134457776363
7,-65.0,23.0,0,500000000,1022424,1224496,0.3171638857142857,0.2672612419124244
7,-65.0,23.0,0,500000000,2255968,2448992,0.33304064,0.2581988897471611
0,-63.0,23.0,0,500000000,2008656,2195648,0.36878720000000004,0.28867513459481287
0,-63.0,23.0,0,500000000,616772,675584,0.35209747692307697,0.2773500981126146
8,-62.0,23.0,0,500000000,1696500,2111200,0.3946887111111111,0.23570226039551584
6,-67.0,23.0,0,500000000,826384,802256,0.1983032888888889,0.3333333333333333
4,-72.0,23.0,0,500000000,802256,1055600,0.11597937777777778,0.3333333333333333
8,-62.0,23.0,0,500000000,998296,1266720,0.38684901052631576,0.22941573387056177
7,-65.0,23.0,0,500000000,1115920,1393392,0.3293936,0.25
8,-62.0,23.0,0,500000000,3631264,3715712,0.41219903999999996,0.22360679774997896
7,-65.0,23.0,0,500000000,3163784,3293472,0.3558279529411765,0.24253562503633297
0,-63.0,23.0,0,500000000,3293472,3377920,0.3848548571428572,0.2672612419124244
8,-62.0,23.0,0,500000000,357396,802256,0.3967597714285714,0.21821789023599236
0,-63.0,23.0,0,500000000,1087268,1224496,0.3770402133333334,0.2581988897471611
5,-70.0,23.0,0,500000000,295568,337792,0.14889244444444447,0.3333333333333333
7,-65.0,23.0,0,500000000,1844284,2068976,0.3612807111111111,0.23570226039551584
6,-67.0,23.0,0,500000000,2575664,2660112,0.24187392000000002,0.31622776601683794
2,-79.0,23.0,0,500000000,42224,0,0.14235520000000002,0.3535533905932738
4,-72.0,23.0,0,500000000,886704,1097824,0.12620800000000001,0.31622776601683794
3,-74.0,23.0,0,500000000,0,0,0.20855253333333335,0.28867513459481287
7,-65.0,23.0,0,500000000,797732,1055600,0.3526009263157895,0.22941573387056177
8,-62.0,23.0,0,500000000,897260,1583400,0.3887645090909091,0.21320071635561044
5,-70.0,23.0,0,500000000,1458236,1857856,0.16989824000000003,0.31622776601683794
8,-62.0,23.0,0,500000000,1547208,1900080,0.3884204521739131,0.20851441405707477
2,-79.0,23.0,0,500000000,1103856,1224496,0.1567288888888889,0.3333333333333333
6,-67.0,23.0,0,500000000,591136,548912,0.2331136,0.30151134457776363
4,-72.0,23.0,0,500000000,1212432,1308944,0.1418658909090909,0.30151134457776363
8,-62.0,23.0,0,500000000,1328548,1865396,0.3858624,0.2041241452319315
6,-67.0,23.0,0,500000000,0,0,0.2136874666666667,0.28867513459481287
8,-62.0,23.0,0,500000000,2771704,3209024,0.39771852800000007,0.2
1,-82.0,23.0,0,500000000,1182272,1224496,0.14264203636363634,0.30151134457776363
1,-82.0,23.0,0,500000000,493116,591136,0.14087039999999998,0.28867513459481287
4,-72.0,23.0,0,500000000,678600,1055600,0.14396373333333334,0.28867513459481287
2,-79.0,23.0,0,500000000,1060124,1140048,0.16715136,0.31622776601683794
0,-63.0,23.0,0,500000000,1818648,2111200,0.3814544,0.25
2,-79.0,23.0,0,500000000,604708,717808,0.16548770909090907,0.30151134457776363
4,-72.0,23.0,0,500000000,1051076,1241084,0.15279163076923077,0.2773500981126146
1,-82.0,23.0,0,500000000,84448,84448,0.13163323076923075,0.2773500981126146
3,-74.0,23.0,0,500000000,1001312,1140048,0.21146978461538463,0.2773500981126146
2,-79.0,23.0,0,500000000,0,84448,0.15169706666666663,0.28867513459481287
3,-74.0,23.0,0,500000000,295568,295568,0.2015616,0.2672612419124244
7,-65.0,23.0,0,500000000,1833728,1980004,0.35753984,0.22360679774997896
8,-62.0,23.0,0,500000000,883688,1364740,0.39078793846153853,0.19611613513818404
0,-63.0,23.0,0,500000000,1446172,1562288,0.3799559529411765,0.24253562503633297
1,-82.0,23.0,0,500000000,42224,0,0.12297325714285713,0.2672612419124244
8,-62.0,23.0,0,500000000,2554552,3124576,0.39960367407407416,0.19245008972987526
1,-82.0,23.0,0,500000000,42224,0,0.11546794666666665,0.2581988897471611
