Node,CST,Tx power,IP address,x,y,z
0,-82,0,10.1.1.1,37.5698,2.50094,1.5
1,-82,0,10.1.1.2,38.0106,1.60337,1.5
2,-82,0,10.1.2.1,71.5591,58.5143,1.5
3,-82,0,10.1.2.2,71.5696,57.5143,1.5
4,-82,0,10.1.3.1,16.5886,21.1799,1.5
5,-82,0,10.1.3.2,16.8141,22.1541,1.5
6,-82,0,10.1.4.1,90.3682,23.9481,1.5
7,-82,0,10.1.4.2,90.5932,24.9225,1.5
Node,CST,Tx power,IP address,x,y,z
0,-82,0,10.1.1.1,57.7366,91.5256,1.5
1,-82,0,10.1.1.2,56.7671,91.7707,1.5
2,-82,0,10.1.2.1,23.2517,79.4071,1.5
3,-82,0,10.1.2.2,22.7641,78.534,1.5
4,-82,0,10.1.3.1,54.6878,32.4225,1.5
5,-82,0,10.1.3.2,55.3127,33.2033,1.5
6,-82,0,10.1.4.1,59.941,61.0552,1.5
7,-82,0,10.1.4.2,60.9362,60.9566,1.5
Node,CST,Tx power,IP address,x,y,z
0,-82,0,10.1.1.1,90.2567,80.5165,1.5
1,-82,0,10.1.1.2,89.4296,79.9543,1.5
2,-82,0,10.1.2.1,29.4294,6.10162,1.5
3,-82,0,10.1.2.2,28.7325,5.38447,1.5
4,-82,0,10.1.3.1,44.6035,48.8815,1.5
5,-82,0,10.1.3.2,44.5673,49.8809,1.5
6,-82,0,10.1.4.1,90.078,52.0368,1.5
7,-82,0,10.1.4.2,90.9739,51.5925,1.5
Node,CST,Tx power,IP address,x,y,z
0,-82,0,10.1.1.1,18.9786,87.4809,1.5
1,-82,0,10.1.1.2,19.7529,86.8482,1.5
2,-82,0,10.1.2.1,48.4242,35.6536,1.5
3,-82,0,10.1.2.2,49.3969,35.8855,1.5
4,-82,0,10.1.3.1,3.23223,87.4902,1.5
5,-82,0,10.1.3.2,4.19686,87.7538,1.5
6,-82,0,10.1.4.1,79.3664,28.8269,1.5
7,-82,0,10.1.4.2,78.8803,29.7008,1.5
Node,CST,Tx power,IP address,x,y,z
0,-82,0,10.1.1.1,34.9625,6.56992,1.5
1,-82,0,10.1.1.2,35.9621,6.54417,1.5
2,-82,0,10.1.2.1,64.1878,51.4182,1.5
3,-82,0,10.1.2.2,63.2945,51.8677,1.5
4,-82,0,10.1.3.1,46.8714,53.529,1.5
5,-82,0,10.1.3.2,47.465,52.7242,1.5
6,-82,0,10.1.4.1,36.6357,52.9739,1.5
7,-82,0,10.1.4.2,37.2858,53.7337,1.5
Node,CST,Tx power,IP address,x,y,z
0,-82,0,10.1.1.1,46.4988,40.4135,1.5
1,-82,0,10.1.1.2,46.6523,41.4016,1.5
2,-82,0,10.1.2.1,25.827,54.5127,1.5
3,-82,0,10.1.2.2,25.854,55.5124,1.5
4,-82,0,10.1.3.1,88.3541,60.9036,1.5
5,-82,0,10.1.3.2,89.1578,60.3085,1.5
6,-82,0,10.1.4.1,48.1675,25.1203,1.5
7,-82,0,10.1.4.2,48.5896,26.0269,1.5
Node,CST,Tx power,IP address,x,y,z
0,-82,0,10.1.1.1,39.6295,7.69158,1.5
1,-82,0,10.1.1.2,38.6298,7.7153,1.5
2,-82,0,10.1.2.1,32.1783,11.5525,1.5
3,-82,0,10.1.2.2,31.9971,12.536,1.5
4,-82,0,10.1.3.1,16.8901,60.0797,1.5
5,-82,0,10.1.3.2,17.5608,59.3379,1.5
6,-82,0,10.1.4.1,82.0259,64.6468,1.5
7,-82,0,10.1.4.2,81.2745,63.9871,1.5
Node,CST,Tx power,IP address,x,y,z
0,-82,0,10.1.1.1,16.2451,93.762,1.5
1,-82,0,10.1.1.2,16.3012,94.7605,1.5
2,-82,0,10.1.2.1,78.7779,79.397,1.5
3,-82,0,10.1.2.2,79.0878,80.3478,1.5
4,-82,0,10.1.3.1,68.1884,56.9027,1.5
5,-82,0,10.1.3.2,67.4945,57.6228,1.5
6,-82,0,10.1.4.1,7.9707,23.2781,1.5
7,-82,0,10.1.4.2,6.9961,23.502,1.5
Node,CST,Tx power,IP address,x,y,z
0,-82,0,10.1.1.1,71.8194,98.0856,1.5
1,-82,0,10.1.1.2,72.8045,98.2578,1.5
2,-82,0,10.1.2.1,60.3529,77.9722,1.5
3,-82,0,10.1.2.2,59.3603,77.8507,1.5
4,-82,0,10.1.3.1,43.7533,50.809,1.5
5,-82,0,10.1.3.2,44.5362,50.1869,1.5
6,-82,0,10.1.4.1,91.0675,81.3809,1.5
7,-82,0,10.1.4.2,90.6449,80.4746,1.5
