Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,150.889,52.4933,150.663,52.6105,2.69228,0.529831,56.4107,0.389764,0.165668,0,0.002392,0,0,0.221704,320992,484055936,292356,440872848,261074,393699592,9326,1117,0,0,0,0
1,0,0,0,0,0.0371731,7.33818,0.374588,52.2673,49.6821,0,0.161748,0,0,2.4235,0,0,0,0,0,0,0,0,261074,393699592,0,0
2,0,14.206,0,15.299,2.22931,27.4569,24.6453,5.72177,0.199652,0,0.205924,0,0,5.3162,320998,484064984,126313,190480004,70653,106544724,2822,1691,0,0,0,0
3,0,0,0,0,0.375354,17.0947,0.325748,42.2571,15.1446,0,0.469388,1.81016,0,24.833,0,0,0,0,0,0,0,0,70655,106547740,0,0
4,0,57.679,0,58.9785,2.42694,0.283423,56.8709,0.438776,0.137296,0,0.00214,0,0,0.29934,321003,484072524,295209,445175172,286865,432592420,10254,297,0,0,0,0
5,0,0,0,0,0.156978,2.79702,0.348316,56.7124,54.556,0,0.142688,0,0,2.01372,0,0,0,0,0,0,0,0,286865,432592420,0,0
6,0,26.5112,0,23.7751,2.72985,17.6902,37.6881,1.95003,0.267,0,0.027476,0,0,1.65555,321008,484080064,193693,292089044,131853,198834324,4970,1949,0,0,0,0
7,0,0,0,0,0.456288,16.4556,0.452964,42.688,26.6278,0,0.371768,1.91664,0,13.7717,0,0,0,0,0,0,0,0,131906,198914248,0,0
Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,238.682,58.3383,241.2,59.4176,2.22915,0.293569,57.0261,0.477816,0.134792,0,0.001448,0,0,0.341576,320992,484055936,296182,446642456,290144,437537152,10369,216,0,0,0,0
1,0,0,0,0,0.123449,2.58006,0.346492,56.9713,55.1766,0,0.142056,0,0,1.65266,0,0,0,0,0,0,0,0,290144,437537152,0,0
2,0,58.2812,0,59.7216,2.5564,0.219128,56.9227,0.32868,0.133756,0,0.000664,0,0,0.19426,320998,484064984,295407,445473756,289860,437108880,10355,198,0,0,0,0
3,0,0,0,0,0.123662,2.4861,0.344816,57.067,55.1219,0,0.141164,0,0,1.80386,0,0,0,0,0,0,0,0,289860,437108880,0,0
4,0,61.0332,0,61.0221,1.47764,0.173632,58.2634,0.13022,0.13022,0,0,0,0,0,321003,484072524,303575,457791100,303547,457748876,10852,0,0,0,0,0
5,0,0,0,0,1.47999,0.356672,0.34726,57.8556,57.7173,0,0.138296,0,0,0,0,0,0,0,0,0,0,0,303547,457748876,0,0
6,0,61.0292,0,61.039,1.45026,0.173632,58.2596,0.13022,0.13022,0,0,0,0,0,321008,484080064,303555,457760940,303527,457718716,10852,0,0,0,0,0
7,0,0,0,0,1.45261,0.356672,0.34726,57.8518,57.7135,0,0.138296,0,0,0,0,0,0,0,0,0,0,0,303527,457718716,0,0
Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,243.164,61.0352,243.903,61.039,1.50676,0.173648,58.2653,0.130228,0.130228,0,0,0,0,0,320992,484055936,303585,457806180,303557,457763956,10853,0,0,0,0,0
1,0,0,0,0,1.50911,0.356704,0.347288,57.8575,57.7192,0,0.138296,0,0,0,0,0,0,0,0,0,0,0,303557,457763956,0,0
2,0,61.034,0,61.0559,1.43682,0.173664,58.2639,0.13024,0.13024,0,0,0,0,0,320998,484064984,303579,457797132,303551,457754908,10854,0,0,0,0,0
3,0,0,0,0,1.43916,0.35672,0.34732,57.8564,57.7181,0,0.138296,0,0,0,0,0,0,0,0,0,0,0,303551,457754908,0,0
4,0,60.5506,0,60.9208,1.47634,0.553806,57.8849,0.140472,0.129824,0,0,0,0,0.010648,321003,484072524,301595,454805260,301147,454129676,10759,15,0,0,0,0
5,0,0,0,0,0.240895,2.1108,0.345304,57.3998,57.2615,0,0.138296,0,0,0,0,0,0,0,0,0,0,0,301147,454129676,0,0
6,0,60.5444,0,60.887,1.4891,0.316516,57.8734,0.377392,0.129732,0,0.001416,0,0,0.246244,321008,484080064,301536,454716288,301116,454082928,10755,14,0,0,0,0
7,0,0,0,0,0.218191,2.0942,0.345112,57.3936,57.2556,0,0.13806,0,0,0,0,0,0,0,0,0,0,0,301116,454082928,0,0
Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,179.438,61.0362,179.406,61.039,1.44451,0.173648,58.2663,0.130232,0.130232,0,0,0,0,0,320992,484055936,303590,457813720,303562,457771496,10853,0,0,0,0,0
1,0,0,0,0,1.44686,0.356704,0.347292,57.8585,57.7202,0,0.138296,0,0,0,0,0,0,0,0,0,0,0,303562,457771496,0,0
2,0,28.5024,0,28.2847,1.30217,0.501995,30.7407,27.4992,0.092612,0,27.4066,0,0,0,320998,484064984,159608,240688864,141756,213768048,5066,636,0,0,0,0
3,0,0,0,0,1.30716,0.612674,0.207192,57.917,26.9861,0,27.5448,3.38606,0,0,0,0,0,0,0,0,0,0,141756,213768048,0,0
4,0,61.042,0,61.0559,1.426,0.17368,58.2716,0.130252,0.130252,0,0,0,0,0,321003,484072524,303619,457857452,303591,457815228,10855,0,0,0,0,0
5,0,0,0,0,1.42834,0.356752,0.347352,57.8637,57.7257,0,0.13806,0,0,0,0,0,0,0,0,0,0,0,303591,457815228,0,0
6,0,28.8575,0,29.0266,1.30191,0.501852,31.0838,27.1618,0.093372,0,27.0684,0,0,0,321008,484080064,161400,243391200,143522,216431176,5129,637,0,0,0,0
7,0,0,0,0,1.3069,0.613607,0.209212,57.9143,27.3185,0,27.2067,3.38911,0,0,0,0,0,0,0,0,0,0,143522,216431176,0,0
Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,227.23,55.2803,239.241,58.6238,2.8875,0.46374,54.8825,1.77091,0.133732,0,0.0099,0,0,1.62728,320992,484055936,284175,428535900,274935,414601980,9829,329,0,0,0,0
1,0,0,0,0,0.228118,2.92886,0.336924,56.5054,52.2941,0,0.148692,0,0,4.06264,0,0,0,0,0,0,0,0,274963,414644204,0,0
2,0,58.1137,0,60.8363,2.17029,0.355687,56.6038,0.879204,0.132724,0,0.004632,0,0,0.741848,320998,484064984,294151,443579708,289027,435852716,10333,182,0,0,0,0
3,0,0,0,0,0.120287,2.5063,0.343056,57.034,54.9683,0,0.143856,0,0,1.92184,0,0,0,0,0,0,0,0,289055,435894940,0,0
4,0,55.719,0,58.9954,2.61785,0.505731,55.167,1.71304,0.133892,0,0.010128,0,0,1.56902,321003,484072524,285942,431200536,277117,417892436,9898,316,0,0,0,0
5,0,0,0,0,0.228185,3.04988,0.338152,56.3821,52.7032,0,0.147228,0,0,3.53169,0,0,0,0,0,0,0,0,277117,417892436,0,0
6,0,58.1173,0,60.7857,2.52512,0.212295,56.8013,0.468672,0.133676,0,0.000904,0,0,0.334092,321008,484080064,294759,444496572,289045,435879860,10324,204,0,0,0,0
7,0,0,0,0,0.120177,2.53735,0.344236,57.0003,54.9672,0,0.137888,0,0,1.89518,0,0,0,0,0,0,0,0,289045,435879860,0,0
Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,174.312,58.4869,176.771,59.8061,2.47079,0.223338,56.9893,0.385992,0.133108,0,0.000508,0,0,0.252376,320992,484055936,295811,446082988,290883,438651564,10393,175,0,0,0,0
1,0,0,0,0,0.152765,2.31625,0.344468,57.2506,55.3156,0,0.135764,0,0,1.79924,0,0,0,0,0,0,0,0,290883,438651564,0,0
2,0,59.6502,0,60.5999,1.65508,0.43924,57.6472,0.291872,0.13316,0,0.00032,0,0,0.158392,320998,484064984,300197,452697076,296669,447376852,10597,125,0,0,0,0
3,0,0,0,0,0.0338614,2.45508,0.3476,57.1915,56.414,0,0.138208,0,0,0.639344,0,0,0,0,0,0,0,0,296669,447376852,0,0
4,0,28.4521,0,28.7045,1.53966,0.672996,30.9543,26.8677,0.094512,0,0.338328,0,0,26.4349,321003,484072524,160466,241982728,141506,213391048,5056,676,0,0,0,0
5,0,0,0,0,0.0797818,2.53205,0.209732,57.2078,26.9376,0,0.774296,2.97098,0,26.5248,0,0,0,0,0,0,0,0,141506,213391048,0,0
6,0,27.7223,0,27.6603,1.53782,0.704992,30.2763,27.5102,0.093156,0,0.78084,0,0,26.6362,321008,484080064,156920,236635360,137876,207917008,4927,680,0,0,0,0
7,0,0,0,0,0.079772,3.95359,0.205876,55.7901,26.2476,0,0.88256,1.54415,0,27.1158,0,0,0,0,0,0,0,0,137876,207917008,0,0
